index	FPKM	status	genome
Grot_02G010290	0	ABA	K
Grot_03G017270	0.27	ABA	K
Grot_04G012490	48.75	ABA	K
Grot_04G010450	1.71	ABA	K
Grot_05G014950	1.07	ABA	K
Grot_05G014940	17.09	ABA	K
Grot_05G013960	0	ABA	K
Grot_05G013810	16.84	ABA	K
Grot_05G013790	0	ABA	K
Grot_05G013770	0	ABA	K
Grot_05G013750	0.15	ABA	K
Grot_05G013740	28.12	ABA	K
Grot_05G013680	57.93	ABA	K
Grot_05G013670	0.44	ABA	K
Grot_05G012430	4.89	ABA	K
Grot_05G000660	15.17	ABA	K
Grot_05G003060	2.92	ABA	K
Grot_05G003200	0	ABA	K
Grot_05G003930	0	ABA	K
Grot_05G002460	0	ABA	K
Grot_07G010140	0.7	ABA	K
Grot_07G010090	0	ABA	K
Grot_07G009930	0	ABA	K
Grot_08G016100	0	ABA	K
Grot_08G014220	8.34	ABA	K
Grot_09G000340	13.68	ABA	K
Grot_09G002440	0.77	ABA	K
Grot_09G003850	2.12	ABA	K
Grot_09G003860	0.42	ABA	K
Grot_09G003870	6.9	ABA	K
Grot_09G003880	3.09	ABA	K
Grot_09G010110	0	ABA	K
Grot_09G010120	0.18	ABA	K
Grot_09G010130	41.41	ABA	K
Grot_09G010140	0	ABA	K
Grot_09G010150	0.81	ABA	K
Grot_11G017160	0	ABA	K
Grot_12G020570	0	ABA	K
Grot_12G011460	0	ABA	K
Grot_12G011440	2.28	ABA	K
Grot_13G017800	0.4	ABA	K
Garb_01G010910	0.13	ABA	A
Garb_03G016400	0.16	ABA	A
Garb_04G012610	13.17	ABA	A
Garb_04G010830	0	ABA	A
Garb_05G026350	3.85	ABA	A
Garb_05G026360	22.42	ABA	A
Garb_05G027320	1.64	ABA	A
Garb_05G027510	2.72	ABA	A
Garb_05G027520	0	ABA	A
Garb_05G027550	0	ABA	A
Garb_05G027580	0.31	ABA	A
Garb_05G027590	19.29	ABA	A
Garb_05G027640	31.84	ABA	A
Garb_05G027650	12.39	ABA	A
Garb_05G029110	1.01	ABA	A
Garb_05G036940	0.78	ABA	A
Garb_05G040220	4.71	ABA	A
Garb_05G040500	0	ABA	A
Garb_05G041370	0	ABA	A
Garb_05G041420	0	ABA	A
Garb_07G019560	2.06	ABA	A
Garb_07G019610	0	ABA	A
Garb_07G019780	0.02	ABA	A
Garb_08G019640	0	ABA	A
Garb_08G015960	9.45	ABA	A
Garb_09G000330	21.74	ABA	A
Garb_09G002500	0	ABA	A
Garb_09G003730	1.35	ABA	A
Garb_09G003740	0.28	ABA	A
Garb_09G003750	4.49	ABA	A
Garb_09G003770	0	ABA	A
Garb_09G010250	0	ABA	A
Garb_09G010260	0.59	ABA	A
Garb_09G010270	41.35	ABA	A
Garb_09G010280	2.88	ABA	A
Garb_09G010340	0.08	ABA	A
Garb_11G023410	0.33	ABA	A
Garb_12G004970	0	ABA	A
Garb_12G013500	0	ABA	A
Garb_12G013540	2.09	ABA	A
Garb_13G013160	0	ABA	A
Grai_02G011300	7.81	ABA	D
Grai_03G012850	4.94	ABA	D
Grai_04G012110	38.08	ABA	D
Grai_04G012740	1.65	ABA	D
Grai_05G029130	5.48	ABA	D
Grai_05G029140	23.36	ABA	D
Grai_05G030020	0	ABA	D
Grai_05G030180	4.29	ABA	D
Grai_05G030190	0.15	ABA	D
Grai_05G030200	0	ABA	D
Grai_05G030230	0.08	ABA	D
Grai_05G030240	28.45	ABA	D
Grai_05G030300	60.69	ABA	D
Grai_05G030310	14.76	ABA	D
Grai_05G031630	0.54	ABA	D
Grai_05G039130	0.03	ABA	D
Grai_05G042440	1.99	ABA	D
Grai_05G042610	0	ABA	D
Grai_05G043570	0	ABA	D
