index	FPKM	status	genome
Garb_01G001000.1	2.028026	A	A
Garb_01G001010.1	0.0	A	A
Garb_01G001020.1	23.036644	A	A
Garb_01G001030.1	6.791179	A	A
Garb_01G001040.1	45.819092	A	A
Garb_01G001050.1	1.775630	A	A
Garb_01G001540.1	6.544798	A	A
Garb_01G001550.1	9.864349	A	A
Garb_01G001560.1	0.210283	A	A
Garb_01G001570.1	7.936532	A	A
Garb_01G001580.1	4.012270	A	A
Garb_01G001590.1	4.541788	A	A
Garb_01G001600.1	35.215538	A	A
Garb_01G001610.1	2.176434	A	A
Garb_01G001620.1	7.753193	A	A
Garb_01G001630.1	4.457073	A	A
Garb_01G001640.1	16.070166	A	A
Garb_01G001650.1	1.987203	A	A
Garb_01G001660.1	12.718716	A	A
Garb_01G001670.1	34.161438	A	A
Garb_01G001680.1	0.000000	A	A
Garb_01G001690.1	0.0	A	A
Garb_01G001700.1	0.027151	A	A
Garb_01G001710.1	0.0	A	A
Garb_01G001720.1	8.742002	A	A
Garb_01G001730.1	10.635969	A	A
Garb_01G001740.1	8.981212	A	A
Garb_01G001750.1	17.994667	A	A
Garb_01G001760.1	0.337130	A	A
Garb_01G001770.1	1.145288	A	A
Garb_01G001780.1	7.728317	A	A
Garb_01G001790.1	1.232644	A	A
Garb_01G001800.1	0.989844	A	A
Garb_01G001810.1	1.399143	A	A
Garb_01G001820.1	32.825901	A	A
Garb_01G001830.1	0.0	A	A
Garb_01G001840.1	1.065554	A	A
Garb_01G001860.1	1.844957	A	A
Garb_01G001870.1	23.377243	A	A
Garb_01G001880.1	14.852631	A	A
Garb_01G001890.1	18.243176	A	A
Garb_01G001900.1	1.212147	A	A
Garb_01G001910.1	0.318845	A	A
Garb_01G001920.1	7.062479	A	A
Garb_01G001930.1	3.037165	A	A
Garb_01G001940.1	29.442638	A	A
Garb_01G001950.1	0.063439	A	A
Garb_01G001960.1	1.493001	A	A
Garb_01G001970.1	2.406114	A	A
Garb_01G001980.1	0.968106	A	A
Garb_01G001990.1	0.751095	A	A
Garb_01G002000.1	0.000000	A	A
Garb_01G002010.1	0.000000	A	A
Garb_01G002020.1	2.801672	A	A
Garb_01G002030.1	0.741580	A	A
Garb_01G002040.1	1.415969	A	A
Garb_01G002050.1	38.208752	A	A
Garb_01G002060.1	7.769377	A	A
Garb_01G002070.1	3.402208	A	A
Garb_01G002080.1	0.367105	A	A
Garb_01G002090.1	6.644764	A	A
Garb_01G002100.1	2.905077	A	A
Garb_01G002110.1	19.732395	A	A
Garb_01G002120.1	2.474508	A	A
Garb_01G002130.1	44.100109	A	A
Garb_01G002140.1	0.000000	A	A
Garb_01G002150.1	1.304132	A	A
Garb_01G002160.1	4.043794	A	A
Garb_01G002170.1	0.0	A	A
Garb_01G002180.1	0.650537	A	A
Garb_01G002190.1	0.018611	A	A
Garb_01G002200.1	33.387604	A	A
Garb_01G002210.1	0.083525	A	A
Garb_01G002220.1	3.582247	A	A
Garb_01G002230.1	2.486917	A	A
Garb_01G002240.1	114.009682	A	A
Garb_01G002250.1	7.977201	A	A
Garb_01G002260.1	3.006721	A	A
Garb_01G002270.1	0.000000	A	A
Garb_01G002280.1	11.137987	A	A
Garb_01G002290.1	4.599183	A	A
Garb_01G002300.1	0.254144	A	A
Garb_01G002310.1	0.0	A	A
Garb_01G002320.1	24.903578	A	A
Garb_01G002330.1	0.000000	A	A
Garb_01G002340.1	2.548209	A	A
