index	block	Chrs	length	genome
1	Alignment_17:	A01	2633041	Garb
2	Alignment_16:	A01	3661826	Garb
3	Alignment_23:	A01	2118185	Garb
4	Alignment_18:	A01	7585627	Garb
5	Alignment_24:	A01	5491532	Garb
6	Alignment_28:	A01	604903	Garb
7	Alignment_20:	A01	1299123	Garb
8	Alignment_22:	A01	1079000	Garb
9	Alignment_25:	A01	3207085	Garb
10	Alignment_19:	A01	3360034	Garb
11	Alignment_26:	A01	109551	Garb
12	Alignment_3:	A01	6186431	Garb
13	Alignment_12:	A01	4911372	Garb
14	Alignment_13:	A01	11141690	Garb
15	Alignment_15:	A01	1742970	Garb
16	Alignment_4:	A01	4206050	Garb
17	Alignment_7:	A01	583357	Garb
18	Alignment_8:	A01	6997711	Garb
19	Alignment_10:	A01	2852965	Garb
20	Alignment_5:	A01	5148828	Garb
21	Alignment_9:	A01	3953660	Garb
22	Alignment_2:	A01	3644547	Garb
23	Alignment_1:	A01	21385691	Garb
24	Alignment_113:	A02	7090248	Garb
25	Alignment_114:	A02	8053819	Garb
26	Alignment_109:	A02	9237691	Garb
27	Alignment_117:	A02	823842	Garb
28	Alignment_115:	A02	3531821	Garb
29	Alignment_116:	A02	6397218	Garb
30	Alignment_110:	A02	7922722	Garb
31	Alignment_101:	A02	1574520	Garb
32	Alignment_104:	A02	3679115	Garb
33	Alignment_106:	A02	1956215	Garb
34	Alignment_105:	A02	8321976	Garb
35	Alignment_107:	A02	7625470	Garb
36	Alignment_100:	A02	4618123	Garb
37	Alignment_99:	A02	4988361	Garb
38	Alignment_98:	A02	1655472	Garb
39	Alignment_103:	A02	10834512	Garb
40	Alignment_190:	A03	26244491	Garb
41	Alignment_193:	A03	20802627	Garb
42	Alignment_213:	A03	8023920	Garb
43	Alignment_195:	A03	11878682	Garb
44	Alignment_206:	A03	7154404	Garb
45	Alignment_204:	A03	1586868	Garb
46	Alignment_203:	A03	1613219	Garb
47	Alignment_202:	A03	3134264	Garb
48	Alignment_197:	A03	3518347	Garb
49	Alignment_205:	A03	8621148	Garb
50	Alignment_198:	A03	6079133	Garb
51	Alignment_200:	A03	1658205	Garb
52	Alignment_201:	A03	1590932	Garb
53	Alignment_214:	A03	1623952	Garb
