type	status	Coverage	genome
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.0588236	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.3333355	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.1000001	A
conserved	B	0	A
conserved	B	0.6666711	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.0499995	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.1818185	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.2222205	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.2500006	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	1	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.1428576	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.6666711	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	1	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0.2500013	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
conserved	B	0	A
