index	type	TE	TEcoverage	genome
LTR-TE71	conserved	Ancient	0	A
LTR-TE116	conserved	Ancient	0	A
LTR-TE612	conserved	Ancient	0	A
LTR-TE983	conserved	Ancient	0	A
LTR-TE1003	conserved	Ancient	0	A
LTR-TE1366	conserved	Ancient	0	A
LTR-TE45	conserved	Ancient	0	A
LTR-TE89	conserved	Ancient	0	A
LTR-TE109	conserved	Ancient	0	A
LTR-TE111	conserved	Ancient	0	A
LTR-TE127	conserved	Ancient	0	A
LTR-TE133	conserved	Ancient	0	A
LTR-TE135	conserved	Ancient	0	A
LTR-TE136	conserved	Ancient	0	A
LTR-TE137	conserved	Ancient	0	A
LTR-TE140	conserved	Ancient	0	A
LTR-TE147	conserved	Ancient	0	A
LTR-TE169	conserved	Ancient	0	A
LTR-TE178	conserved	Ancient	0	A
LTR-TE193	conserved	Ancient	0	A
LTR-TE200	conserved	Ancient	0	A
LTR-TE206	conserved	Ancient	0	A
LTR-TE230	conserved	Ancient	0	A
LTR-TE262	conserved	Ancient	0	A
LTR-TE265	conserved	Ancient	0	A
LTR-TE274	conserved	Ancient	0	A
LTR-TE306	conserved	Ancient	0	A
LTR-TE325	conserved	Ancient	0	A
LTR-TE348	conserved	Ancient	0	A
LTR-TE349	conserved	Ancient	0	A
LTR-TE382	conserved	Ancient	0	A
LTR-TE411	conserved	Ancient	0	A
LTR-TE443	conserved	Ancient	0	A
LTR-TE470	conserved	Ancient	0	A
LTR-TE492	conserved	Ancient	0	A
LTR-TE495	conserved	Ancient	0	A
LTR-TE514	conserved	Ancient	0	A
LTR-TE551	conserved	Ancient	0	A
LTR-TE584	conserved	Ancient	0	A
LTR-TE600	conserved	Ancient	0	A
LTR-TE601	conserved	Ancient	0	A
LTR-TE602	conserved	Ancient	0	A
LTR-TE663	conserved	Ancient	0	A
LTR-TE714	conserved	Ancient	0	A
LTR-TE729	conserved	Ancient	0	A
LTR-TE878	conserved	Ancient	0	A
LTR-TE948	conserved	Ancient	0	A
LTR-TE965	conserved	Ancient	0	A
LTR-TE994	conserved	Ancient	0	A
LTR-TE1014	conserved	Ancient	0	A
LTR-TE1038	conserved	Ancient	0	A
LTR-TE1061	conserved	Ancient	0	A
LTR-TE1132	conserved	Ancient	0	A
LTR-TE1170	conserved	Ancient	0	A
LTR-TE1171	conserved	Ancient	0	A
LTR-TE1183	conserved	Ancient	0	A
LTR-TE1210	conserved	Ancient	0	A
LTR-TE1220	conserved	Ancient	0	A
LTR-TE1236	conserved	Ancient	0	A
LTR-TE1240	conserved	Ancient	0	A
LTR-TE1257	conserved	Ancient	0	A
LTR-TE1264	conserved	Ancient	0	A
LTR-TE1288	conserved	Ancient	0	A
LTR-TE1301	conserved	Ancient	0	A
LTR-TE1343	conserved	Ancient	0	A
LTR-TE1362	conserved	Ancient	0	A
LTR-TE1364	conserved	Ancient	0	A
