index	RPKM	genome
K2_TE2170499	3.69802	K
K2_TE1710249	4.45443	K
K2_TE1288082	0.168092	K
K2_TE0277832	5.12679	K
K2_TE1543142	0.168092	K
K2_TE1543141	0.168092	K
K2_TE0152993	0.168092	K
K2_TE0754324	2.35328	K
K2_TE1712083	0.168092	K
K2_TE1709730	0.672367	K
K2_TE0943917	10.6738	K
K2_TE0298439	0.168092	K
K2_TE0077354	0.168092	K
K2_TE0077353	0.168092	K
K2_TE1788155	0.252137	K
K2_TE1789065	0.168092	K
K2_TE2256827	0.924504	K
K2_TE1287102	2.43733	K
K2_TE1290098	0.168092	K
K2_TE0045434	2.60542	K
K2_TE0045436	1.59687	K
K2_TE0045449	0.168092	K
K2_TE0045454	0.252137	K
K2_TE0045455	0.252137	K
K2_TE0045947	0.252137	K
K2_TE0045962	0.168092	K
K2_TE0278131	0.168092	K
K2_TE0274182	0.168092	K
K2_TE0274181	0.168092	K
K2_TE0274171	0.168092	K
K2_TE1545909	27.9032	K
K2_TE1544220	0.168092	K
K2_TE1543164	20.3391	K
K2_TE1543119	0.168092	K
K2_TE1543118	0.168092	K
K2_TE0155492	0.168092	K
K2_TE0153010	0.168092	K
K2_TE0153002	0.168092	K
K2_TE0151153	0.504275	K
K2_TE0151154	0.504275	K
K2_TE0149640	0.168092	K
K2_TE1703279	26.2223	K
K2_TE1703264	0.420229	K
K2_TE1703263	0.420229	K
K2_TE1703252	0.168092	K
K2_TE1698549	1.51282	K
K2_TE1690336	0.168092	K
K2_TE1690315	0.168092	K
K2_TE1687950	0.168092	K
K2_TE1687951	0.168092	K
K2_TE0742069	0.168092	K
K2_TE0742070	0.168092	K
K2_TE0744828	41.4346	K
K2_TE0744830	30.0884	K
K2_TE0753101	0.168092	K
K2_TE0763454	0.168092	K
K2_TE0767593	16.8932	K
K2_TE0074789	4.62252	K
K2_TE0074790	5.54702	K
K2_TE0382827	0.336183	K
K2_TE0382836	0.336183	K
K2_TE0382837	0.336183	K
K2_TE0382850	0.336183	K
K2_TE0382872	0.336183	K
K2_TE0382884	0.336183	K
K2_TE0383312	0.168092	K
K2_TE0385871	0.252137	K
K2_TE0385872	0.252137	K
K2_TE0385873	0.252137	K
K2_TE0297323	0.168092	K
K2_TE1504407	0.168092	K
K2_TE1500625	0.168092	K
K2_TE1496511	0.168092	K
K2_TE2078134	0.252137	K
K2_TE2078135	0.252137	K
K2_TE1353757	0.672367	K
K2_TE1355511	0.168092	K
K2_TE1355539	6.0513	K
K2_TE1355549	22.6924	K
K2_TE1355550	36.4759	K
K2_TE1721626	0.168092	K
K2_TE1715070	0.168092	K
K2_TE1714280	116.656	K
K2_TE1712027	0.168092	K
K2_TE1712006	0.168092	K
K2_TE1710648	23.9531	K
K2_TE1710323	0.504275	K
K2_TE1710322	0.588321	K
K2_TE1709738	0.840458	K
K2_TE1707610	2.43733	K
K2_TE1707561	0.504275	K
K2_TE1707535	1.0926	K
K2_TE1707534	1.0926	K
K2_TE1707533	1.0926	K
K2_TE1706802	0.420229	K
K2_TE1706787	0.420229	K
K2_TE0690637	0.168092	K
K2_TE0690622	0.252137	K
K2_TE0940689	0.756412	K
K2_TE0940687	0.756412	K
K2_TE0026932	0.168092	K
K2_TE0077329	0.168092	K
K2_TE0033472	0.420229	K
K2_TE0033441	0.924504	K
K2_TE0032902	0.924504	K
K2_TE0032883	11.9345	K
K2_TE0032881	12.6909	K
K2_TE0071705	256.004	K
K2_TE2169889	0.336183	K
K2_TE2170381	3.02565	K
K2_TE2170454	141.785	K
K2_TE1785392	0.336183	K
K2_TE1785401	0.252137	K
K2_TE1786278	1.84901	K
K2_TE1786308	0.168092	K
K2_TE1788129	0.252137	K
K2_TE1788192	65.4717	K
K2_TE1788209	188.263	K
K2_TE1788247	0.336183	K
K2_TE1789060	0.672367	K
K2_TE1302758	0.420229	K
K2_TE2021880	0.420229	K
K2_TE2021882	0.420229	K
K2_TE2256828	0.756412	K
K2_TE2256829	0.504275	K
K2_TE2256830	0.672367	K
K2_TE2256831	0.672367	K
K2_TE2256832	6.30344	K
K2_TE2256833	0.252137	K
K2_TE2256834	0.252137	K
K2_TE2256835	1.17664	K
K2_TE2256836	18.406	K
K2_TE2256837	0.252137	K
K2_TE2256838	0.252137	K
K2_TE2256839	0.252137	K
K2_TE2256840	0.252137	K
K2_TE2256841	0.252137	K
K2_TE2256842	0.252137	K
K2_TE2256843	6.0513	K
K2_TE2256844	6.30344	K
K2_TE2256845	6.47153	K
K2_TE2256846	6.30344	K
K2_TE2256847	6.80771	K
K2_TE2256848	6.30344	K
K2_TE2256849	5.63107	K
K2_TE2256850	5.54702	K
K2_TE2256851	0.168092	K
K2_TE2256852	0.168092	K
K2_TE2256853	0.168092	K
K2_TE2256854	0.168092	K
K2_TE2256855	0.168092	K
K2_TE2256856	0.168092	K
K2_TE2256857	0.168092	K
K2_TE2256858	0.168092	K
K2_TE2256859	0.168092	K
K2_TE1287089	3.1097	K
K2_TE1287090	17.3975	K
K2_TE1287091	13.6995	K
K2_TE1287092	28.5756	K
K2_TE1287093	21.6838	K
K2_TE1287094	21.0955	K
K2_TE1287095	2.43733	K
K2_TE1287096	2.43733	K
K2_TE1287097	2.43733	K
K2_TE1287098	2.43733	K
K2_TE1287099	2.43733	K
K2_TE1287100	2.43733	K
K2_TE1287101	2.43733	K
K2_TE1287103	2.43733	K
K2_TE1287104	2.43733	K
K2_TE1287105	2.43733	K
K2_TE1287106	2.43733	K
K2_TE1287107	2.43733	K
K2_TE1287108	6.72367	K
K2_TE1287109	4.20229	K
K2_TE1287110	4.20229	K
K2_TE1287111	4.28634	K
K2_TE1287112	4.20229	K
K2_TE1287113	0.420229	K
K2_TE1287985	0.420229	K
K2_TE1287986	0.420229	K
K2_TE1287987	0.420229	K
K2_TE1287988	0.420229	K
K2_TE1287989	0.420229	K
K2_TE1287990	0.420229	K
K2_TE1287991	0.420229	K
K2_TE1287992	0.420229	K
K2_TE1287993	0.420229	K
K2_TE1287994	0.420229	K
K2_TE1288018	8.48863	K
K2_TE1288077	38.3249	K
K2_TE1288078	34.1226	K
K2_TE1288079	39.4175	K
K2_TE1288080	0.168092	K
K2_TE1288081	0.168092	K
K2_TE1288083	0.168092	K
K2_TE1288084	0.168092	K
K2_TE1288085	0.168092	K
K2_TE1288086	0.168092	K
K2_TE1288087	0.168092	K
K2_TE1288088	0.168092	K
K2_TE1288089	0.168092	K
K2_TE1288090	0.168092	K
K2_TE1288091	0.168092	K
K2_TE1288092	0.168092	K
K2_TE1288093	0.168092	K
K2_TE1288094	0.168092	K
K2_TE1288095	0.168092	K
K2_TE1288096	0.168092	K
K2_TE1288097	0.168092	K
K2_TE1288098	0.168092	K
K2_TE1288099	0.168092	K
K2_TE1288100	0.168092	K
K2_TE1288101	0.168092	K
K2_TE1288102	0.168092	K
K2_TE1288103	0.168092	K
