index	RPKM	type	genome
K2_TE1710249	4.45443	specific	K
K2_TE0277832	5.12679	specific	K
K2_TE0754324	2.35328	specific	K
K2_TE1709730	0.672367	specific	K
K2_TE0298439	0.168092	specific	K
K2_TE1287102	2.43733	specific	K
K2_TE1290098	0.168092	specific	K
K2_TE0045947	0.252137	specific	K
K2_TE0045962	0.168092	specific	K
K2_TE0278131	0.168092	specific	K
K2_TE0274182	0.168092	specific	K
K2_TE0274181	0.168092	specific	K
K2_TE0274171	0.168092	specific	K
K2_TE1545909	27.9032	specific	K
K2_TE0151153	0.504275	specific	K
K2_TE0151154	0.504275	specific	K
K2_TE0149640	0.168092	specific	K
K2_TE1698549	1.51282	specific	K
K2_TE1687950	0.168092	specific	K
K2_TE1687951	0.168092	specific	K
K2_TE0742069	0.168092	specific	K
K2_TE0742070	0.168092	specific	K
K2_TE0753101	0.168092	specific	K
K2_TE0763454	0.168092	specific	K
K2_TE0385871	0.252137	specific	K
K2_TE0385872	0.252137	specific	K
K2_TE0385873	0.252137	specific	K
K2_TE0297323	0.168092	specific	K
K2_TE1355511	0.168092	specific	K
K2_TE1355539	6.0513	specific	K
K2_TE1355549	22.6924	specific	K
K2_TE1355550	36.4759	specific	K
K2_TE1721626	0.168092	specific	K
K2_TE1715070	0.168092	specific	K
K2_TE1714280	116.656	specific	K
K2_TE1710323	0.504275	specific	K
K2_TE1710322	0.588321	specific	K
K2_TE1709738	0.840458	specific	K
K2_TE2169889	0.336183	specific	K
K2_TE1785392	0.336183	specific	K
K2_TE1785401	0.252137	specific	K
K2_TE1786278	1.84901	specific	K
K2_TE1786308	0.168092	specific	K
K2_TE1287089	3.1097	specific	K
K2_TE1287090	17.3975	specific	K
K2_TE1287091	13.6995	specific	K
K2_TE1287092	28.5756	specific	K
K2_TE1287093	21.6838	specific	K
K2_TE1287094	21.0955	specific	K
K2_TE1287095	2.43733	specific	K
K2_TE1287096	2.43733	specific	K
K2_TE1287097	2.43733	specific	K
K2_TE1287098	2.43733	specific	K
K2_TE1287099	2.43733	specific	K
K2_TE1287100	2.43733	specific	K
K2_TE1287101	2.43733	specific	K
K2_TE1287103	2.43733	specific	K
K2_TE1287104	2.43733	specific	K
K2_TE1287105	2.43733	specific	K
K2_TE1287106	2.43733	specific	K
K2_TE1287107	2.43733	specific	K
K2_TE1287108	6.72367	specific	K
K2_TE1287109	4.20229	specific	K
K2_TE1287110	4.20229	specific	K
K2_TE1287111	4.28634	specific	K
K2_TE1287112	4.20229	specific	K
K2_TE1287113	0.420229	specific	K
K2_TE1290008	1.0926	specific	K
K2_TE1290009	1.0926	specific	K
K2_TE1290010	2.43733	specific	K
K2_TE1290011	2.43733	specific	K
K2_TE1290012	2.43733	specific	K
K2_TE1290013	2.43733	specific	K
K2_TE1290014	2.52137	specific	K
K2_TE1290015	2.43733	specific	K
K2_TE1290016	2.43733	specific	K
K2_TE1290017	2.43733	specific	K
K2_TE1290018	2.26924	specific	K
K2_TE1290019	2.26924	specific	K
K2_TE1290054	1.00855	specific	K
K2_TE1290082	0.336183	specific	K
K2_TE1290083	0.168092	specific	K
K2_TE1290100	0.168092	specific	K
K2_TE1290101	1.76496	specific	K
K2_TE1290122	1.51282	specific	K
K2_TE1290135	0.168092	specific	K
K2_TE1290137	0.252137	specific	K
K2_TE1290138	0.252137	specific	K
K2_TE1290139	2.26924	specific	K
K2_TE1290140	132.96	specific	K
K2_TE1290141	132.792	specific	K
K2_TE1290142	130.019	specific	K
K2_TE1290143	127.918	specific	K
K2_TE1290144	130.103	specific	K
K2_TE1290145	130.607	specific	K
K2_TE1290146	130.187	specific	K
K2_TE1290155	5.46298	specific	K
K2_TE1290156	3.27779	specific	K
K2_TE1290166	14.0357	specific	K
K2_TE1290167	6.47153	specific	K
K2_TE1290168	6.89176	specific	K
K2_TE0045970	0.336183	specific	K
K2_TE0045971	0.336183	specific	K
K2_TE0045972	0.336183	specific	K
K2_TE0045991	3.44588	specific	K
K2_TE0045995	2.52137	specific	K
K2_TE0353556	13.5314	specific	K
K2_TE0353579	0.168092	specific	K
K2_TE0278602	0.252137	specific	K
K2_TE0278601	28.8277	specific	K
K2_TE0278595	0.420229	specific	K
K2_TE0278569	1.17664	specific	K
K2_TE0278568	3.02565	specific	K
K2_TE0278567	1.68092	specific	K
K2_TE0278194	0.420229	specific	K
K2_TE0278196	0.420229	specific	K
K2_TE0277831	0.252137	specific	K
K2_TE0275577	0.252137	specific	K
K2_TE0275576	0.252137	specific	K
K2_TE0275575	0.168092	specific	K
K2_TE0275573	12.6069	specific	K
K2_TE0275459	3.44588	specific	K
K2_TE0275458	11.01	specific	K
K2_TE0274980	3.27779	specific	K
K2_TE0274979	3.86611	specific	K
K2_TE0274975	11.3462	specific	K
K2_TE0274974	2.85756	specific	K
K2_TE0274973	2.77351	specific	K
K2_TE0274218	0.168092	specific	K
K2_TE0274216	0.168092	specific	K
K2_TE0274217	0.168092	specific	K
K2_TE0274215	0.168092	specific	K
K2_TE0274214	0.168092	specific	K
K2_TE0274213	0.168092	specific	K
K2_TE0274212	0.168092	specific	K
K2_TE0274211	0.168092	specific	K
K2_TE0274210	0.168092	specific	K
K2_TE0274209	0.168092	specific	K
K2_TE0274208	0.168092	specific	K
K2_TE0274207	0.168092	specific	K
K2_TE0274205	0.168092	specific	K
K2_TE0274206	0.168092	specific	K
K2_TE0274204	0.168092	specific	K
K2_TE0274203	0.168092	specific	K
K2_TE0274202	0.168092	specific	K
K2_TE0274201	0.168092	specific	K
K2_TE0274200	0.168092	specific	K
K2_TE0274198	0.168092	specific	K
K2_TE0274199	0.168092	specific	K
K2_TE0274197	0.168092	specific	K
K2_TE0274196	0.168092	specific	K
K2_TE0274195	0.168092	specific	K
K2_TE0274194	0.168092	specific	K
K2_TE0274193	0.168092	specific	K
K2_TE0274192	0.168092	specific	K
K2_TE0274191	0.168092	specific	K
K2_TE0274190	0.168092	specific	K
K2_TE0274189	0.168092	specific	K
K2_TE0274188	0.168092	specific	K
K2_TE0274187	0.168092	specific	K
K2_TE0274186	0.168092	specific	K
K2_TE0274184	0.168092	specific	K
K2_TE0274185	0.168092	specific	K
