line	year	genome
1	1.49286	D
2	2.31429	D
3	2.27857	D
4	2	D
5	1.32143	D
6	2.16429	D
7	1.23571	D
8	2.72143	D
9	1.30714	D
10	1.92143	D
11	2.32857	D
12	1.32857	D
13	1.53571	D
14	2.87143	D
15	2.05714	D
16	1.50714	D
17	0.6	D
18	1.13571	D
19	2.14286	D
20	1.11429	D
21	1.57143	D
22	0.714286	D
23	5.41429	D
24	1.71429	D
25	2.87857	D
26	0.692857	D
27	1.12143	D
28	1.34286	D
29	1.4	D
30	3.05	D
31	0.678571	D
32	4.06429	D
33	1.35714	D
34	1.61429	D
35	2.00714	D
36	1.92143	D
37	1.71429	D
38	2.93571	D
39	2.65	D
40	0.157143	D
41	0.278571	D
42	3.77143	D
43	5.31429	D
44	1.18571	D
45	2.28571	D
46	1.4	D
47	0.757143	D
48	2.99286	D
49	5.38571	D
50	2.01429	D
51	0.578571	D
52	2.39286	D
53	3.18571	D
54	2.56429	D
55	1.85714	D
56	5.59286	D
57	0.771429	D
58	1.75714	D
59	1.12143	D
60	2.72857	D
61	4.71429	D
62	2.75714	D
63	1.89286	D
64	1.99286	D
65	1.92143	D
66	4.17143	D
67	1.90714	D
68	1.63571	D
69	1.47143	D
70	3.51429	D
71	1.39286	D
72	1.33571	D
73	2.80714	D
74	2.57857	D
75	1.07143	D
76	3.67857	D
77	4.45714	D
78	2.79286	D
79	1.95	D
80	2.15	D
81	3.58571	D
82	2.73571	D
83	2.98571	D
84	4.82143	D
85	4.11429	D
86	2.97143	D
87	1.1	D
88	1.55714	D
89	1.35	D
90	1.11429	D
91	4.7	D
92	3.01429	D
93	2.16429	D
94	3.66429	D
95	5.72143	D
96	2.48571	D
97	1.57143	D
98	8.59286	D
99	2.7	D
100	6.06429	D
101	3.08571	D
102	1.53571	D
103	6.20714	D
104	2.42143	D
105	2.10714	D
106	1.36429	D
107	3.52857	D
108	4.73571	D
109	7.45	D
110	2.65	D
111	8.45714	D
112	2.26429	D
113	1.29286	D
114	1.96429	D
115	1.35714	D
116	2.67857	D
117	3.8	D
118	1.50714	D
119	0.821429	D
120	0.842857	D
121	2.15714	D
122	2.27143	D
123	2.37857	D
124	3.41429	D
125	2.72143	D
126	3.57143	D
127	1.95	D
128	6.60714	D
129	2.91429	D
130	4.39286	D
131	5.05714	D
132	5.37143	D
133	2.47143	D
134	0.735714	D
135	8.35	D
136	1.00714	D
137	1.96429	D
138	1.05	D
139	2.32143	D
140	2.86429	D
141	8.10714	D
142	2.79286	D
143	1.63571	D
144	3.29286	D
145	4.14286	D
146	7.35714	D
147	2.11429	D
148	4.59286	D
149	2.30714	D
150	1.72143	D
151	3.62857	D
152	3.81429	D
153	1.21429	D
154	4.81429	D
155	1.15	D
156	3.54286	D
157	3.64286	D
158	3.37857	D
159	0.628571	D
160	0.978571	D
161	5.02857	D
162	2.09286	D
163	2.56429	D
164	1.8	D
165	3.33571	D
166	2.77857	D
167	7.31429	D
168	3.11429	D
169	2.74286	D
170	5.10714	D
171	3.72857	D
172	1.18571	D
173	0.55	D
174	0.842857	D
175	3.04286	D
176	9.46429	D
177	7.51429	D
178	8.72143	D
179	5.45714	D
180	1.62143	D
181	3.25	D
182	2.69286	D
183	2.14286	D
184	5.42857	D
185	2.82857	D
186	2.02857	D
187	3.79286	D
188	2.45714	D
189	5.97857	D
190	4.00714	D
191	3.72143	D
192	2.31429	D
193	3.15	D
194	1.77143	D
195	2.20714	D
196	4.3	D
197	5.47143	D
198	2.33571	D
199	0.707143	D
200	5.33571	D
201	1.96429	D
202	6.11429	D
203	2.76429	D
204	4.89286	D
205	4.47857	D
206	1.67857	D
207	3.36429	D
208	1.97143	D
209	3.45714	D
210	3.45714	D
211	1.30714	D
212	4.08571	D
213	2.86429	D
214	2	D
215	1.52857	D
216	4.22857	D
217	0.507143	D
218	0.971429	D
219	3.84286	D
220	1.7	D
221	3.81429	D
222	2.68571	D
223	4.42143	D
224	3.25	D
225	0.45	D
226	2.72857	D
227	5.08571	D
228	1.7	D
229	1.14286	D
230	1.54286	D
231	5.88571	D
232	4.67857	D
233	1.28571	D
234	0.421429	D
235	1.37857	D
236	5.27857	D
237	3.70714	D
238	1.49286	D
239	3.17857	D
240	5.95	D
241	2.86429	D
242	3.82143	D
243	1.12143	D
244	4.62857	D
245	0.742857	D
246	3.92143	D
247	2.96429	D
248	2.2	D
249	0.742857	D
250	2.22857	D
251	2.41429	D
252	2.33571	D
253	0.121429	D
254	1.31429	D
255	1.96429	D
256	1.26429	D
257	1.35714	D
258	2.64286	D
259	1.29286	D
260	2.29286	D
261	2.99286	D
262	1.21429	D
263	4.57857	D
264	1.92143	D
265	0.685714	D
266	2.77143	D
267	2.68571	D
268	1.60714	D
269	1.91429	D
270	2.58571	D
271	1.52857	D
272	2.82143	D
273	1.26429	D
274	1.45	D
275	0.428571	D
276	1.82857	D
277	2.35	D
278	2.00714	D
279	3.08571	D
280	5.31429	D
281	1.11429	D
282	1.82143	D
283	1.87857	D
284	5.18571	D
285	0.114286	D
286	1.47857	D
287	1.35	D
288	2.59286	D
289	3.22143	D
290	4.27857	D
291	2.22857	D
292	1.52143	D
293	2.65714	D
294	2.73571	D
295	3.05714	D
296	2.16429	D
297	1.45714	D
298	4.34286	D
299	2.15	D
300	1.52857	D
301	6.58571	D
302	2.15	D
303	7.41429	D
304	0.735714	D
305	4.15714	D
306	0.414286	D
307	1.3	D
308	2.98571	D
309	3.55	D
310	3.59286	D
311	3.35714	D
312	2.30714	D
313	2.76429	D
314	3.05714	D
315	4.14286	D
316	5.97143	D
317	5.65	D
318	2.31429	D
319	6.12143	D
320	2.31429	D
321	0.685714	D
322	1.39286	D
323	2.17857	D
324	1.59286	D
325	1.75	D
326	3.02143	D
327	2.44286	D
328	1.69286	D
329	5.01429	D
330	2.95	D
331	1.62143	D
332	0.914286	D
333	2.63571	D
334	5.02143	D
335	1.34286	D
336	2.7	D
337	2.53571	D
338	0.735714	D
339	6.2	D
340	2.88571	D
341	5.66429	D
342	1.07857	D
343	3.96429	D
344	0.442857	D
345	2.5	D
346	2.82857	D
347	1.88571	D
348	0.942857	D
349	3.72857	D
350	4.18571	D
351	0.514286	D
352	4.13571	D
353	4.08571	D
354	2.70714	D
355	2.84286	D
356	2.67143	D
357	7.8	D
358	3.07143	D
359	1.52143	D
360	1.38571	D
361	3	D
362	5.67143	D
363	0.871429	D
364	1.20714	D
365	3.31429	D
366	0.642857	D
367	1.94286	D
368	0.871429	D
369	12.9286	D
370	2.64286	D
371	7.31429	D
372	1.28571	D
373	5.42857	D
374	1.26429	D
375	2.60714	D
376	4.02857	D
377	2.35714	D
378	2.77143	D
379	2.6	D
380	1.82143	D
381	4.06429	D
382	3.00714	D
383	2.53571	D
384	0.785714	D
385	3.31429	D
386	4.45714	D
387	4.22143	D
388	3.94286	D
389	2.50714	D
390	1.27857	D
391	6.51429	D
392	3.77857	D
393	4.65	D
394	1.07857	D
395	1.20714	D
396	2.57857	D
397	3.72143	D
398	4.52857	D
399	0.835714	D
400	2.84286	D
401	2.39286	D
402	1.07857	D
403	1.12857	D
404	0.721429	D
405	0.942857	D
406	0.142857	D
407	0.742857	D
408	0.664286	D
409	3.79286	D
410	3.33571	D
411	0.971429	D
412	2.17143	D
413	3.65	D
414	1.95714	D
415	0.978571	D
416	2.46429	D
