,group,group_name,seqnames,start,end,width,strand,score,score
1,1,PC1,Chr02,1450001,1500000,50000,*,-0.028,0.028
2,1,PC1,Chr02,1600001,1650000,50000,*,-0.029,0.029
3,1,PC1,Chr02,1700001,1750000,50000,*,-0.028,0.028
4,1,PC1,Chr02,1750001,1800000,50000,*,-0.028,0.028
5,1,PC1,Chr02,1800001,1850000,50000,*,-0.029,0.029
6,1,PC1,Chr02,1850001,1900000,50000,*,-0.026,0.026
7,1,PC1,Chr02,1900001,1950000,50000,*,-0.017,0.017
8,1,PC1,Chr02,1950001,2000000,50000,*,-0.009,0.009
9,1,PC1,Chr02,2000001,2050000,50000,*,-0.004,0.004
10,1,PC1,Chr02,2050001,2100000,50000,*,-0.009,0.009
11,1,PC1,Chr02,2100001,2150000,50000,*,0.002,-0.002
12,1,PC1,Chr02,2150001,2200000,50000,*,0.001,-0.001
13,1,PC1,Chr02,2200001,2250000,50000,*,-0.004,0.004
14,1,PC1,Chr02,2250001,2300000,50000,*,0.002,-0.002
15,1,PC1,Chr02,2300001,2350000,50000,*,0.004,-0.004
16,1,PC1,Chr02,2350001,2400000,50000,*,-0.023,0.023
17,1,PC1,Chr02,2400001,2450000,50000,*,-0.024,0.024
18,1,PC1,Chr02,2500001,2550000,50000,*,-0.024,0.024
19,1,PC1,Chr02,2550001,2600000,50000,*,-0.027,0.027
20,1,PC1,Chr02,2700001,2750000,50000,*,-0.027,0.027
21,1,PC1,Chr02,2750001,2800000,50000,*,-0.027,0.027
22,1,PC1,Chr02,2800001,2850000,50000,*,-0.027,0.027
23,1,PC1,Chr02,2850001,2900000,50000,*,-0.027,0.027
24,1,PC1,Chr02,2900001,2950000,50000,*,-0.028,0.028
25,1,PC1,Chr02,2950001,3000000,50000,*,-0.028,0.028
26,1,PC1,Chr02,3000001,3050000,50000,*,-0.027,0.027
27,1,PC1,Chr02,3050001,3100000,50000,*,-0.028,0.028
28,1,PC1,Chr02,3100001,3150000,50000,*,-0.028,0.028
29,1,PC1,Chr02,3200001,3250000,50000,*,-0.028,0.028
30,1,PC1,Chr02,3250001,3300000,50000,*,-0.026,0.026
31,1,PC1,Chr02,3300001,3350000,50000,*,-0.028,0.028
32,1,PC1,Chr02,3400001,3450000,50000,*,-0.028,0.028
33,1,PC1,Chr02,3450001,3500000,50000,*,-0.027,0.027
34,1,PC1,Chr02,3500001,3550000,50000,*,-0.027,0.027
35,1,PC1,Chr02,3600001,3650000,50000,*,-0.028,0.028
36,1,PC1,Chr02,3650001,3700000,50000,*,-0.026,0.026
37,1,PC1,Chr02,3700001,3750000,50000,*,-0.028,0.028
38,1,PC1,Chr02,3750001,3800000,50000,*,-0.025,0.025
39,1,PC1,Chr02,3800001,3850000,50000,*,-0.027,0.027
40,1,PC1,Chr02,3850001,3900000,50000,*,-0.027,0.027
41,1,PC1,Chr02,3900001,3950000,50000,*,-0.028,0.028
42,1,PC1,Chr02,3950001,4000000,50000,*,-0.028,0.028
43,1,PC1,Chr02,4000001,4050000,50000,*,-0.025,0.025
44,1,PC1,Chr02,4050001,4100000,50000,*,-0.027,0.027
45,1,PC1,Chr02,4100001,4150000,50000,*,-0.028,0.028
46,1,PC1,Chr02,4150001,4200000,50000,*,-0.027,0.027
47,1,PC1,Chr02,4200001,4250000,50000,*,-0.026,0.026
48,1,PC1,Chr02,4250001,4300000,50000,*,-0.027,0.027
49,1,PC1,Chr02,4300001,4350000,50000,*,-0.027,0.027
50,1,PC1,Chr02,4350001,4400000,50000,*,-0.027,0.027
51,1,PC1,Chr02,4400001,4450000,50000,*,-0.026,0.026
52,1,PC1,Chr02,4450001,4500000,50000,*,-0.026,0.026
53,1,PC1,Chr02,4500001,4550000,50000,*,-0.025,0.025
54,1,PC1,Chr02,4550001,4600000,50000,*,-0.026,0.026
55,1,PC1,Chr02,4600001,4650000,50000,*,-0.015,0.015
56,1,PC1,Chr02,4650001,4700000,50000,*,-0.022,0.022
57,1,PC1,Chr02,4700001,4750000,50000,*,-0.021,0.021
58,1,PC1,Chr02,4750001,4800000,50000,*,-0.025,0.025
59,1,PC1,Chr02,4800001,4850000,50000,*,-0.027,0.027
60,1,PC1,Chr02,4850001,4900000,50000,*,-0.027,0.027
61,1,PC1,Chr02,4900001,4950000,50000,*,-0.028,0.028
62,1,PC1,Chr02,4950001,5000000,50000,*,-0.027,0.027
63,1,PC1,Chr02,5000001,5050000,50000,*,-0.027,0.027
64,1,PC1,Chr02,5050001,5100000,50000,*,-0.028,0.028
65,1,PC1,Chr02,5100001,5150000,50000,*,-0.028,0.028
66,1,PC1,Chr02,5150001,5200000,50000,*,-0.027,0.027
67,1,PC1,Chr02,5200001,5250000,50000,*,-0.028,0.028
68,1,PC1,Chr02,5250001,5300000,50000,*,-0.027,0.027
69,1,PC1,Chr02,5300001,5350000,50000,*,-0.023,0.023
70,1,PC1,Chr02,5350001,5400000,50000,*,-0.025,0.025
71,1,PC1,Chr02,5400001,5450000,50000,*,-0.028,0.028
72,1,PC1,Chr02,5450001,5500000,50000,*,-0.024,0.024
73,1,PC1,Chr02,5500001,5550000,50000,*,-0.024,0.024
74,1,PC1,Chr02,5550001,5600000,50000,*,-0.023,0.023
75,1,PC1,Chr02,5600001,5650000,50000,*,-0.018,0.018
76,1,PC1,Chr02,5650001,5700000,50000,*,-0.022,0.022
77,1,PC1,Chr02,5700001,5750000,50000,*,-0.022,0.022
78,1,PC1,Chr02,5750001,5800000,50000,*,-0.017,0.017
79,1,PC1,Chr02,5800001,5850000,50000,*,-0.011,0.011
80,1,PC1,Chr02,5850001,5900000,50000,*,-0.011,0.011
81,1,PC1,Chr02,5900001,5950000,50000,*,-0.025,0.025
82,1,PC1,Chr02,5950001,6000000,50000,*,-0.027,0.027
83,1,PC1,Chr02,6000001,6050000,50000,*,-0.027,0.027
84,1,PC1,Chr02,6050001,6100000,50000,*,-0.028,0.028
85,1,PC1,Chr02,6100001,6150000,50000,*,-0.027,0.027
86,1,PC1,Chr02,6150001,6200000,50000,*,-0.028,0.028
87,1,PC1,Chr02,6200001,6250000,50000,*,-0.027,0.027
88,1,PC1,Chr02,6250001,6300000,50000,*,-0.025,0.025
89,1,PC1,Chr02,6300001,6350000,50000,*,-0.026,0.026
90,1,PC1,Chr02,6350001,6400000,50000,*,-0.02,0.02
91,1,PC1,Chr02,6400001,6450000,50000,*,-0.021,0.021
92,1,PC1,Chr02,6450001,6500000,50000,*,-0.024,0.024
