,group,group_name,seqnames,start,end,width,strand,score,score
1,1,PC1,Chr04,1250001,1300000,50000,*,-0.039,0.039
2,1,PC1,Chr04,1350001,1400000,50000,*,-0.041,0.041
3,1,PC1,Chr04,1400001,1450000,50000,*,-0.041,0.041
4,1,PC1,Chr04,1450001,1500000,50000,*,-0.042,0.042
5,1,PC1,Chr04,1500001,1550000,50000,*,-0.041,0.041
6,1,PC1,Chr04,1550001,1600000,50000,*,-0.041,0.041
7,1,PC1,Chr04,1600001,1650000,50000,*,-0.042,0.042
8,1,PC1,Chr04,1650001,1700000,50000,*,-0.041,0.041
9,1,PC1,Chr04,1700001,1750000,50000,*,-0.041,0.041
10,1,PC1,Chr04,1750001,1800000,50000,*,-0.041,0.041
11,1,PC1,Chr04,1800001,1850000,50000,*,-0.042,0.042
12,1,PC1,Chr04,1850001,1900000,50000,*,-0.041,0.041
13,1,PC1,Chr04,1900001,1950000,50000,*,-0.042,0.042
14,1,PC1,Chr04,2400001,2450000,50000,*,-0.041,0.041
15,1,PC1,Chr04,2450001,2500000,50000,*,-0.041,0.041
16,1,PC1,Chr04,2500001,2550000,50000,*,-0.041,0.041
17,1,PC1,Chr04,2550001,2600000,50000,*,-0.041,0.041
18,1,PC1,Chr04,2650001,2700000,50000,*,-0.041,0.041
19,1,PC1,Chr04,2700001,2750000,50000,*,-0.042,0.042
20,1,PC1,Chr04,2900001,2950000,50000,*,-0.041,0.041
21,1,PC1,Chr04,3000001,3050000,50000,*,-0.041,0.041
22,1,PC1,Chr04,3050001,3100000,50000,*,-0.041,0.041
23,1,PC1,Chr04,3100001,3150000,50000,*,-0.04,0.04
24,1,PC1,Chr04,3150001,3200000,50000,*,-0.04,0.04
25,1,PC1,Chr04,3200001,3250000,50000,*,-0.041,0.041
26,1,PC1,Chr04,3250001,3300000,50000,*,-0.041,0.041
27,1,PC1,Chr04,3300001,3350000,50000,*,-0.041,0.041
28,1,PC1,Chr04,3350001,3400000,50000,*,-0.039,0.039
29,1,PC1,Chr04,3400001,3450000,50000,*,-0.041,0.041
30,1,PC1,Chr04,3450001,3500000,50000,*,-0.042,0.042
31,1,PC1,Chr04,3500001,3550000,50000,*,-0.041,0.041
32,1,PC1,Chr04,3550001,3600000,50000,*,-0.042,0.042
33,1,PC1,Chr04,3600001,3650000,50000,*,-0.041,0.041
34,1,PC1,Chr04,3650001,3700000,50000,*,-0.041,0.041
35,1,PC1,Chr04,3700001,3750000,50000,*,-0.042,0.042
36,1,PC1,Chr04,3750001,3800000,50000,*,-0.041,0.041
37,1,PC1,Chr04,3800001,3850000,50000,*,-0.042,0.042
38,1,PC1,Chr04,3850001,3900000,50000,*,-0.042,0.042
39,1,PC1,Chr04,3900001,3950000,50000,*,-0.041,0.041
40,1,PC1,Chr04,3950001,4000000,50000,*,-0.041,0.041
41,1,PC1,Chr04,4000001,4050000,50000,*,-0.042,0.042
42,1,PC1,Chr04,4050001,4100000,50000,*,-0.041,0.041
43,1,PC1,Chr04,4100001,4150000,50000,*,-0.041,0.041
44,1,PC1,Chr04,4150001,4200000,50000,*,-0.042,0.042
45,1,PC1,Chr04,4200001,4250000,50000,*,-0.041,0.041
46,1,PC1,Chr04,4250001,4300000,50000,*,-0.041,0.041
47,1,PC1,Chr04,4300001,4350000,50000,*,-0.04,0.04
48,1,PC1,Chr04,4350001,4400000,50000,*,-0.04,0.04
49,1,PC1,Chr04,4400001,4450000,50000,*,-0.04,0.04
50,1,PC1,Chr04,4450001,4500000,50000,*,-0.031,0.031
51,1,PC1,Chr04,4500001,4550000,50000,*,-0.033,0.033
52,1,PC1,Chr04,4550001,4600000,50000,*,0.033,-0.033
53,1,PC1,Chr04,4600001,4650000,50000,*,0.035,-0.035
54,1,PC1,Chr04,4700001,4750000,50000,*,0.009,-0.009
55,1,PC1,Chr04,4750001,4800000,50000,*,-0.02,0.02
56,1,PC1,Chr04,4800001,4850000,50000,*,-0.022,0.022
57,1,PC1,Chr04,4850001,4900000,50000,*,-0.032,0.032
58,1,PC1,Chr04,4900001,4950000,50000,*,-0.032,0.032
59,1,PC1,Chr04,4950001,5000000,50000,*,-0.03,0.03
60,1,PC1,Chr04,5000001,5050000,50000,*,-0.029,0.029
61,1,PC1,Chr04,5050001,5100000,50000,*,-0.012,0.012
62,1,PC1,Chr04,5100001,5150000,50000,*,-0.018,0.018
63,1,PC1,Chr04,5150001,5200000,50000,*,-0.004,0.004
64,1,PC1,Chr04,5200001,5250000,50000,*,-0.019,0.019
65,1,PC1,Chr04,5250001,5300000,50000,*,-0.033,0.033
66,1,PC1,Chr04,5300001,5350000,50000,*,-0.036,0.036
67,1,PC1,Chr04,5350001,5400000,50000,*,-0.034,0.034
68,1,PC1,Chr04,5400001,5450000,50000,*,-0.036,0.036
69,1,PC1,Chr04,5450001,5500000,50000,*,-0.039,0.039
70,1,PC1,Chr04,5500001,5550000,50000,*,-0.039,0.039
71,1,PC1,Chr04,5550001,5600000,50000,*,-0.036,0.036
72,1,PC1,Chr04,5600001,5650000,50000,*,-0.038,0.038
73,1,PC1,Chr04,5650001,5700000,50000,*,-0.04,0.04
74,1,PC1,Chr04,5700001,5750000,50000,*,-0.037,0.037
75,1,PC1,Chr04,5750001,5800000,50000,*,-0.041,0.041
76,1,PC1,Chr04,5800001,5850000,50000,*,-0.039,0.039
77,1,PC1,Chr04,5850001,5900000,50000,*,-0.028,0.028
78,1,PC1,Chr04,5900001,5950000,50000,*,-0.034,0.034
79,1,PC1,Chr04,5950001,6000000,50000,*,-0.03,0.03
80,1,PC1,Chr04,6000001,6050000,50000,*,-0.035,0.035
81,1,PC1,Chr04,6050001,6100000,50000,*,-0.036,0.036
82,1,PC1,Chr04,6100001,6150000,50000,*,-0.028,0.028
83,1,PC1,Chr04,6150001,6200000,50000,*,-0.039,0.039
84,1,PC1,Chr04,6200001,6250000,50000,*,-0.04,0.04
85,1,PC1,Chr04,6250001,6300000,50000,*,-0.034,0.034
86,1,PC1,Chr04,6300001,6350000,50000,*,-0.038,0.038
87,1,PC1,Chr04,6350001,6400000,50000,*,-0.036,0.036
88,1,PC1,Chr04,6450001,6500000,50000,*,-0.037,0.037
89,1,PC1,Chr04,6500001,6550000,50000,*,-0.026,0.026
90,1,PC1,Chr04,6550001,6600000,50000,*,-0.036,0.036
