index	Chrs	start	end	number	genome
1	Chr01	8350000	8450000	10	A
2	Chr01	83850000	83950000	4	A
3	Chr01	100650000	100750000	4	A
4	Chr01	7300000	7400000	12	A
5	Chr01	9400000	9500000	9	A
6	Chr01	11500000	11600000	2	A
7	Chr01	13600000	13700000	4	A
8	Chr01	17750000	17850000	4	A
9	Chr01	19850000	19950000	6	A
10	Chr01	22000000	22100000	2	A
11	Chr01	24100000	24200000	2	A
12	Chr01	30400000	30500000	8	A
13	Chr01	43950000	44050000	0	A
14	Chr01	55500000	55600000	1	A
15	Chr01	63950000	64050000	0	A
16	Chr01	65000000	65100000	7	A
17	Chr01	77500000	77600000	7	A
18	Chr01	79650000	79750000	0	A
19	Chr01	95400000	95500000	3	A
20	Chr01	3900000	4000000	9	A
21	Chr01	4550000	4650000	11	A
22	Chr01	5850000	5950000	8	A
23	Chr01	9950000	10050000	6	A
24	Chr01	10950000	11050000	5	A
25	Chr01	11700000	11800000	5	A
26	Chr01	12050000	12150000	6	A
27	Chr01	12400000	12500000	7	A
28	Chr01	13100000	13200000	3	A
29	Chr01	14450000	14550000	5	A
30	Chr01	14800000	14900000	4	A
31	Chr01	15400000	15500000	6	A
32	Chr01	16200000	16300000	2	A
33	Chr01	19100000	19200000	1	A
34	Chr01	19450000	19550000	6	A
35	Chr01	20800000	20900000	2	A
36	Chr01	23150000	23250000	2	A
37	Chr01	28950000	29050000	3	A
38	Chr01	29550000	29650000	3	A
39	Chr01	33350000	33450000	6	A
40	Chr01	34150000	34250000	5	A
41	Chr01	34950000	35050000	0	A
42	Chr01	36750000	36850000	4	A
43	Chr01	37150000	37250000	0	A
44	Chr01	39000000	39100000	0	A
45	Chr01	39700000	39800000	1	A
46	Chr01	40300000	40400000	4	A
47	Chr01	40700000	40800000	0	A
48	Chr01	42500000	42600000	0	A
49	Chr01	48100000	48200000	1	A
50	Chr01	50000000	50100000	4	A
51	Chr01	51950000	52050000	0	A
52	Chr01	53150000	53250000	6	A
53	Chr01	53850000	53950000	0	A
54	Chr01	56300000	56400000	0	A
55	Chr01	61150000	61250000	0	A
56	Chr01	63150000	63250000	0	A
57	Chr01	66150000	66250000	0	A
58	Chr01	66700000	66800000	6	A
59	Chr01	71650000	71750000	0	A
60	Chr01	72600000	72700000	0	A
61	Chr01	74500000	74600000	0	A
62	Chr01	74950000	75050000	2	A
63	Chr01	75550000	75650000	2	A
64	Chr01	76650000	76750000	4	A
65	Chr01	77300000	77400000	5	A
66	Chr01	77850000	77950000	5	A
67	Chr01	78100000	78200000	4	A
68	Chr01	78450000	78550000	1	A
69	Chr01	79000000	79100000	4	A
70	Chr01	80050000	80150000	1	A
71	Chr01	81250000	81350000	2	A
72	Chr01	81900000	82000000	0	A
73	Chr01	85100000	85200000	3	A
74	Chr01	86150000	86250000	1	A
75	Chr01	87750000	87850000	0	A
76	Chr01	89300000	89400000	0	A
77	Chr01	90500000	90600000	1	A
78	Chr01	91450000	91550000	2	A
79	Chr01	92100000	92200000	0	A
80	Chr01	92900000	93000000	1	A
81	Chr01	93450000	93550000	1	A
82	Chr01	93750000	93850000	2	A
83	Chr01	94100000	94200000	6	A
84	Chr01	94750000	94850000	3	A
85	Chr01	95800000	95900000	2	A
86	Chr01	98650000	98750000	4	A
87	Chr01	100350000	100450000	5	A
88	Chr01	101900000	102000000	3	A
89	Chr01	102400000	102500000	9	A
90	Chr01	104050000	104150000	3	A
91	Chr01	104400000	104500000	3	A
92	Chr01	105100000	105200000	6	A
93	Chr01	106200000	106300000	3	A
94	Chr01	106600000	106700000	3	A
95	Chr01	107250000	107350000	2	A
96	Chr01	108050000	108150000	5	A
97	Chr01	108700000	108800000	11	A
98	Chr01	109350000	109450000	9	A
99	Chr01	113450000	113550000	6	A
100	Chr01	114600000	114700000	13	A
101	Chr01	115400000	115500000	5	A
102	Chr01	115900000	116000000	7	A
103	Chr01	118950000	119050000	8	A
104	Chr01	119650000	119750000	9	A
105	Chr01	120700000	120800000	9	A
106	Chr01	122250000	122350000	15	A
107	Chr01	122550000	122650000	18	A
108	Chr01	123300000	123400000	17	A
109	Chr01	0	50000	6	A
110	Chr01	2250000	2350000	6	A
111	Chr01	6300000	6400000	10	A
112	Chr01	23600000	23700000	6	A
113	Chr01	27400000	27500000	1	A
114	Chr01	27800000	27900000	0	A
115	Chr01	30950000	31050000	2	A
116	Chr01	32900000	33000000	4	A
117	Chr01	34500000	34600000	2	A
118	Chr01	35400000	35500000	2	A
119	Chr01	41300000	41400000	0	A
120	Chr01	41950000	42050000	3	A
121	Chr01	43400000	43500000	3	A
122	Chr01	46150000	46250000	1	A
123	Chr01	52300000	52400000	2	A
124	Chr01	52700000	52800000	1	A
125	Chr01	56500000	56600000	3	A
126	Chr01	59000000	59100000	5	A
127	Chr01	59900000	60000000	1	A
128	Chr01	68300000	68400000	2	A
129	Chr01	70650000	70750000	2	A
130	Chr01	75900000	76000000	5	A
