line	Chr	dist	genome
1	Chr01	11593	A
2	Chr01	3526	A
3	Chr01	6398	A
4	Chr01	788	A
5	Chr01	8766	A
6	Chr01	778	A
7	Chr01	2976	A
8	Chr01	1049	A
9	Chr01	747	A
10	Chr01	3597	A
11	Chr01	1797	A
12	Chr01	2263	A
13	Chr01	4331	A
14	Chr01	4235	A
15	Chr01	5660	A
16	Chr01	106	A
17	Chr01	2247	A
18	Chr01	1796	A
19	Chr01	15039	A
20	Chr01	1639	A
21	Chr01	3065	A
22	Chr01	1906	A
23	Chr01	1278	A
24	Chr01	1249	A
25	Chr01	652	A
26	Chr01	3604	A
27	Chr01	1761	A
28	Chr01	4280	A
29	Chr01	1434	A
30	Chr01	1316	A
31	Chr01	1011	A
32	Chr01	47326	A
33	Chr01	11954	A
34	Chr01	1600	A
35	Chr01	7960	A
36	Chr01	154	A
37	Chr01	914	A
38	Chr01	5447	A
39	Chr01	4891	A
40	Chr01	1305	A
41	Chr01	2705	A
42	Chr01	728	A
43	Chr01	1620	A
44	Chr01	8578	A
45	Chr01	6013	A
46	Chr01	2388	A
47	Chr01	2899	A
48	Chr01	9401	A
49	Chr01	492	A
50	Chr01	988	A
51	Chr01	1066	A
52	Chr01	10915	A
53	Chr01	12898	A
54	Chr01	21955	A
55	Chr01	18368	A
56	Chr01	7454	A
57	Chr01	900	A
58	Chr01	702	A
59	Chr01	17995	A
60	Chr01	4480	A
61	Chr01	2098	A
62	Chr01	4399	A
63	Chr01	12952	A
64	Chr01	8472	A
65	Chr01	1370	A
66	Chr01	9315	A
67	Chr01	42408	A
68	Chr01	6516	A
69	Chr01	4240	A
70	Chr01	11260	A
71	Chr01	5450	A
72	Chr01	87	A
73	Chr01	8654	A
74	Chr01	1978	A
75	Chr01	1262	A
76	Chr01	20287	A
77	Chr01	6593	A
78	Chr01	25047	A
79	Chr01	369	A
80	Chr01	1224	A
81	Chr01	845	A
82	Chr01	12302	A
83	Chr01	30511	A
84	Chr01	29079	A
85	Chr01	3415	A
86	Chr01	534	A
87	Chr01	3079	A
88	Chr01	1807	A
89	Chr01	2232	A
90	Chr01	2187	A
91	Chr01	9811	A
92	Chr01	1323	A
93	Chr01	4743	A
94	Chr01	389	A
95	Chr01	4832	A
96	Chr01	3999	A
97	Chr01	12584	A
98	Chr01	2191	A
99	Chr01	19990	A
100	Chr01	35156	A
101	Chr01	3370	A
102	Chr01	9655	A
103	Chr01	2015	A
104	Chr01	15050	A
105	Chr01	670	A
106	Chr01	2131	A
107	Chr01	7332	A
108	Chr01	4642	A
109	Chr01	24835	A
110	Chr01	6683	A
111	Chr01	1096	A
112	Chr01	21701	A
113	Chr01	3072	A
114	Chr01	9665	A
115	Chr01	2762	A
116	Chr01	395	A
117	Chr01	1247	A
118	Chr01	1304	A
119	Chr01	11197	A
120	Chr01	2302	A
121	Chr01	4977	A
122	Chr01	3914	A
123	Chr01	3241	A
124	Chr01	4278	A
125	Chr01	858	A
126	Chr01	16781	A
127	Chr01	11205	A
128	Chr01	24915	A
129	Chr01	839	A
130	Chr01	2774	A
131	Chr01	31251	A
132	Chr01	1791	A
133	Chr01	5084	A
134	Chr01	11363	A
135	Chr01	5032	A
136	Chr01	19122	A
137	Chr01	5055	A
138	Chr01	3002	A
139	Chr01	39232	A
140	Chr01	1256	A
141	Chr01	76503	A
142	Chr01	386	A
143	Chr01	13072	A
144	Chr01	30145	A
145	Chr01	49	A
146	Chr01	12368	A
147	Chr01	15511	A
148	Chr01	12202	A
149	Chr01	1625	A
150	Chr01	3891	A
151	Chr01	1156	A
152	Chr01	4650	A
153	Chr01	4203	A
154	Chr01	779	A
155	Chr01	648	A
156	Chr01	8700	A
157	Chr01	14699	A
158	Chr01	1019	A
159	Chr01	324	A
160	Chr01	1094	A
161	Chr01	5023	A
162	Chr01	8970	A
163	Chr01	714	A
164	Chr01	9988	A
165	Chr01	4236	A
166	Chr01	25429	A
167	Chr01	47555	A
168	Chr01	4068	A
169	Chr01	13540	A
170	Chr01	10276	A
171	Chr01	6131	A
172	Chr01	31697	A
173	Chr01	11159	A
174	Chr01	56194	A
175	Chr01	7448	A
176	Chr01	12936	A
177	Chr01	2702	A
178	Chr01	205	A
179	Chr01	2041	A
180	Chr01	9998	A
181	Chr01	364	A
182	Chr01	878	A
183	Chr01	1063	A
184	Chr01	4343	A
185	Chr01	37727	A
186	Chr01	24556	A
187	Chr01	3499	A
188	Chr01	19664	A
189	Chr01	3784	A
190	Chr01	14161	A
191	Chr01	37626	A
192	Chr01	3425	A
193	Chr01	28529	A
194	Chr01	18991	A
195	Chr01	7978	A
196	Chr01	7574	A
197	Chr01	19409	A
198	Chr01	3202	A
199	Chr01	4652	A
200	Chr01	13439	A
201	Chr01	741	A
202	Chr01	6303	A
203	Chr01	30856	A
204	Chr01	4978	A
205	Chr01	463	A
206	Chr01	13272	A
207	Chr01	12541	A
208	Chr01	1891	A
209	Chr01	74	A
210	Chr01	16722	A
211	Chr01	20915	A
212	Chr01	12622	A
213	Chr01	1020	A
214	Chr01	92	A
215	Chr01	4647	A
216	Chr01	81	A
217	Chr01	360	A
218	Chr01	1168	A
219	Chr01	1361	A
220	Chr01	6849	A
221	Chr01	4046	A
222	Chr01	9803	A
223	Chr01	10645	A
224	Chr01	4174	A
225	Chr01	109	A
226	Chr01	6460	A
227	Chr01	1046	A
228	Chr01	3230	A
229	Chr01	5919	A
230	Chr01	3359	A
231	Chr01	6090	A
232	Chr01	1833	A
233	Chr01	2216	A
234	Chr01	1566	A
235	Chr01	11489	A
236	Chr01	14493	A
237	Chr01	3764	A
238	Chr01	1023	A
239	Chr01	11969	A
240	Chr01	3339	A
241	Chr01	7697	A
242	Chr01	3735	A
243	Chr01	9895	A
244	Chr01	6430	A
245	Chr01	33382	A
246	Chr01	1898	A
247	Chr01	13731	A
248	Chr01	5511	A
249	Chr01	4506	A
250	Chr01	19538	A
251	Chr01	17526	A
252	Chr01	9792	A
253	Chr01	17278	A
254	Chr01	3764	A
255	Chr01	14326	A
256	Chr01	25331	A
257	Chr01	48285	A
258	Chr01	23338	A
259	Chr01	17104	A
260	Chr01	7316	A
261	Chr01	5596	A
262	Chr01	15294	A
263	Chr01	3054	A
264	Chr01	2341	A
265	Chr01	15169	A
266	Chr01	2912	A
267	Chr01	6465	A
268	Chr01	2112	A
269	Chr01	2616	A
270	Chr01	12138	A
271	Chr01	4175	A
272	Chr01	22685	A
273	Chr01	1264	A
274	Chr01	1396	A
275	Chr01	22407	A
276	Chr01	22934	A
277	Chr01	593	A
278	Chr01	5066	A
279	Chr01	4772	A
280	Chr01	7318	A
281	Chr01	7589	A
282	Chr01	7809	A
283	Chr01	14383	A
284	Chr01	14200	A
285	Chr01	1388	A
286	Chr01	4880	A
287	Chr01	4856	A
288	Chr01	5289	A
289	Chr01	1177	A
290	Chr01	16695	A
291	Chr01	20346	A
292	Chr01	13200	A
293	Chr01	17942	A
294	Chr01	491	A
295	Chr01	6	A
296	Chr01	4502	A
297	Chr01	8557	A
298	Chr01	3034	A
299	Chr01	1398	A
300	Chr01	426	A
301	Chr01	13410	A
302	Chr01	3228	A
303	Chr01	8791	A
304	Chr01	1192	A
305	Chr01	350	A
306	Chr01	1755	A
307	Chr01	668	A
308	Chr01	5244	A
309	Chr01	9633	A
310	Chr01	3679	A
311	Chr01	5193	A
312	Chr01	6775	A
313	Chr01	12729	A
314	Chr01	15653	A
315	Chr01	2648	A
316	Chr01	15967	A
317	Chr01	32838	A
318	Chr01	7838	A
319	Chr01	59723	A
320	Chr01	17884	A
321	Chr01	17819	A
322	Chr01	402	A
323	Chr01	10410	A
324	Chr01	968	A
325	Chr01	3952	A
326	Chr01	17780	A
327	Chr01	14549	A
328	Chr01	12848	A
329	Chr01	589	A
330	Chr01	6048	A
331	Chr01	25265	A
332	Chr01	7334	A
333	Chr01	1243	A
334	Chr01	4058	A
335	Chr01	5723	A
336	Chr01	2907	A
337	Chr01	5870	A
338	Chr01	16299	A
339	Chr01	36979	A
340	Chr01	207	A
341	Chr01	8394	A
342	Chr01	11602	A
343	Chr01	46057	A
344	Chr01	590	A
345	Chr01	7907	A
346	Chr01	19570	A
347	Chr01	2940	A
348	Chr01	4442	A
349	Chr01	1607	A
350	Chr01	8902	A
351	Chr01	2065	A
352	Chr01	19927	A
353	Chr01	15345	A
354	Chr01	5655	A
355	Chr01	2225	A
356	Chr01	1900	A
357	Chr01	33577	A
358	Chr01	30040	A
359	Chr01	57249	A
360	Chr01	2131	A
361	Chr01	355	A
362	Chr01	28356	A
363	Chr01	2887	A
364	Chr01	1378	A
365	Chr01	13853	A
366	Chr01	4097	A
367	Chr01	1840	A
368	Chr01	1220	A
369	Chr01	7050	A
370	Chr01	6160	A
371	Chr01	6580	A
372	Chr01	10199	A
373	Chr01	582	A
374	Chr01	13917	A
375	Chr01	977	A
376	Chr01	20555	A
377	Chr01	1327	A
378	Chr01	1224	A
379	Chr01	6696	A
380	Chr01	5349	A
381	Chr01	9673	A
382	Chr01	24022	A
383	Chr01	182	A
384	Chr01	2428	A
385	Chr01	14987	A
386	Chr01	365	A
387	Chr01	24928	A
388	Chr01	13193	A
389	Chr01	7611	A
390	Chr01	13978	A
391	Chr01	117	A
392	Chr01	6267	A
393	Chr01	9479	A
394	Chr01	1779	A
