line	Chrs	start	end	TEcoverage	genome
1	Chr01	33500000	33600000	0.6251000	D
2	Chr01	50300000	50400000	0.3309100	D
3	Chr01	950000	1050000	0.1897200	D
4	Chr01	7300000	7400000	0.6857800	D
5	Chr01	11450000	11550000	0.7500200	D
6	Chr01	13600000	13700000	0.5690100	D
7	Chr01	14600000	14700000	0.6008000	D
8	Chr01	15650000	15750000	0.6240000	D
9	Chr01	17750000	17850000	0.6301400	D
10	Chr01	23050000	23150000	0.6637700	D
11	Chr01	24050000	24150000	0.7263300	D
12	Chr01	34550000	34650000	0.5177600	D
13	Chr01	46050000	46150000	0.4367700	D
14	Chr01	48200000	48300000	0.5621800	D
15	Chr01	1350000	1450000	0.3851900	D
16	Chr01	2450000	2550000	0.4416100	D
17	Chr01	3500000	3600000	0.6486700	D
18	Chr01	4000000	4100000	0.4611200	D
19	Chr01	4400000	4500000	0.7850600	D
20	Chr01	5350000	5450000	0.3125600	D
21	Chr01	5850000	5950000	0.2936000	D
22	Chr01	7000000	7100000	0.4155500	D
23	Chr01	7850000	7950000	0.5817100	D
24	Chr01	8600000	8700000	0.5340200	D
25	Chr01	9000000	9100000	0.4768700	D
26	Chr01	9750000	9850000	0.3534700	D
27	Chr01	11050000	11150000	0.3058400	D
28	Chr01	11850000	11950000	0.4372900	D
29	Chr01	12400000	12500000	0.6494900	D
30	Chr01	12800000	12900000	0.5107700	D
31	Chr01	14100000	14200000	0.4714200	D
32	Chr01	15300000	15400000	0.5349100	D
33	Chr01	17150000	17250000	0.5616500	D
34	Chr01	19250000	19350000	0.6082300	D
35	Chr01	20000000	20100000	0.4744800	D
36	Chr01	20250000	20350000	0.5183300	D
37	Chr01	20800000	20900000	0.6138000	D
38	Chr01	22200000	22300000	0.6328500	D
39	Chr01	22500000	22600000	0.5990800	D
40	Chr01	23450000	23550000	0.5876200	D
41	Chr01	25000000	25100000	0.7198300	D
42	Chr01	25800000	25900000	0.5877000	D
43	Chr01	27450000	27550000	0.6970300	D
44	Chr01	28000000	28100000	0.6701300	D
45	Chr01	31100000	31200000	0.5805400	D
46	Chr01	31500000	31600000	0.6094900	D
47	Chr01	31950000	32050000	0.5916200	D
48	Chr01	32700000	32800000	0.5966200	D
49	Chr01	33000000	33100000	0.5583500	D
50	Chr01	34850000	34950000	0.5658100	D
51	Chr01	35200000	35300000	0.6214200	D
52	Chr01	35700000	35800000	0.6497300	D
53	Chr01	36000000	36100000	0.7255200	D
54	Chr01	36750000	36850000	0.7435500	D
55	Chr01	37200000	37300000	0.4513500	D
56	Chr01	38600000	38700000	0.5177300	D
57	Chr01	39400000	39500000	0.5180500	D
58	Chr01	41350000	41450000	0.6351500	D
59	Chr01	41800000	41900000	0.4407300	D
60	Chr01	42800000	42900000	0.5998600	D
