line	name	dist	year	genome	type
1	LTR-TE4	1.14	0.814286	A	DIRS
2	LTR-TE49	1.65	1.17857	A	DIRS
3	LTR-TE140	7.76	5.54286	A	DIRS
4	LTR-TE141	2.47	1.76429	A	DIRS
5	LTR-TE187	6.31	4.50714	A	DIRS
6	LTR-TE214	2.19	1.56429	A	DIRS
7	LTR-TE219	0.70	0.5	A	DIRS
8	LTR-TE248	0.98	0.7	A	DIRS
9	LTR-TE291	0.77	0.55	A	DIRS
10	LTR-TE292	0.87	0.621429	A	DIRS
11	LTR-TE293	1.35	0.964286	A	DIRS
12	LTR-TE389	2.78	1.98571	A	DIRS
13	LTR-TE421	2.19	1.56429	A	DIRS
14	LTR-TE425	4.83	3.45	A	DIRS
15	LTR-TE431	0.43	0.307143	A	DIRS
16	LTR-TE437	1.39	0.992857	A	DIRS
17	LTR-TE477	0.86	0.614286	A	DIRS
18	LTR-TE522	0.41	0.292857	A	DIRS
19	LTR-TE544	0.62	0.442857	A	DIRS
20	LTR-TE546	4.14	2.95714	A	DIRS
21	LTR-TE592	0.32	0.228571	A	DIRS
22	LTR-TE600	8.50	6.07143	A	DIRS
23	LTR-TE601	8.04	5.74286	A	DIRS
24	LTR-TE628	1.81	1.29286	A	DIRS
25	LTR-TE640	2.19	1.56429	A	DIRS
26	LTR-TE641	2.18	1.55714	A	DIRS
27	LTR-TE661	2.39	1.70714	A	DIRS
28	LTR-TE697	1.32	0.942857	A	DIRS
29	LTR-TE716	1.31	0.935714	A	DIRS
30	LTR-TE718	2.22	1.58571	A	DIRS
31	LTR-TE733	0.54	0.385714	A	DIRS
32	LTR-TE762	2.03	1.45	A	DIRS
33	LTR-TE765	0.83	0.592857	A	DIRS
34	LTR-TE780	0.47	0.335714	A	DIRS
35	LTR-TE796	0.29	0.207143	A	DIRS
36	LTR-TE835	2.75	1.96429	A	DIRS
37	LTR-TE842	0.19	0.135714	A	DIRS
38	LTR-TE843	2.60	1.85714	A	DIRS
39	LTR-TE906	0.73	0.521429	A	DIRS
40	LTR-TE920	1.10	0.785714	A	DIRS
41	LTR-TE981	2.20	1.57143	A	DIRS
42	LTR-TE986	1.14	0.814286	A	DIRS
43	LTR-TE987	1.05	0.75	A	DIRS
44	LTR-TE1027	1.20	0.857143	A	DIRS
45	LTR-TE1039	1.96	1.4	A	DIRS
46	LTR-TE1072	0.96	0.685714	A	DIRS
47	LTR-TE1126	2.25	1.60714	A	DIRS
48	LTR-TE1133	2.06	1.47143	A	DIRS
49	LTR-TE1162	1.58	1.12857	A	DIRS
50	LTR-TE1181	2.33	1.66429	A	DIRS
51	LTR-TE1183	6.83	4.87857	A	DIRS
52	LTR-TE1189	3.56	2.54286	A	DIRS
53	LTR-TE1199	3.26	2.32857	A	DIRS
54	LTR-TE1209	0.60	0.428571	A	DIRS
55	LTR-TE1229	0.28	0.2	A	DIRS
56	LTR-TE1236	9.08	6.48571	A	DIRS
57	LTR-TE1267	0.25	0.178571	A	DIRS
58	LTR-TE1272	0.19	0.135714	A	DIRS
59	LTR-TE1283	1.02	0.728571	A	DIRS
60	LTR-TE1292	1.16	0.828571	A	DIRS
61	LTR-TE1327	2.28	1.62857	A	DIRS
62	LTR-TE1341	2.98	2.12857	A	DIRS
63	LTR-TE1357	2.05	1.46429	A	DIRS
64	LTR-TE1411	0.68	0.485714	A	DIRS
65	LTR-TE1470	1.88	1.34286	A	DIRS
66	LTR-TE1484	4.87	3.47857	A	DIRS
67	LTR-TE1510	1.87	1.33571	A	DIRS
68	LTR-TE1515	1.40	1	A	DIRS
69	LTR-TE1516	-0.00	0	A	DIRS
70	LTR-TE1517	-0.00	0	A	DIRS
71	LTR-TE1563	1.95	1.39286	A	DIRS
72	LTR-TE1619	10.32	7.37143	A	DIRS
73	LTR-TE1621	0.29	0.207143	A	DIRS
74	LTR-TE1645	1.58	1.12857	A	DIRS
75	LTR-TE1646	0.57	0.407143	A	DIRS
76	LTR-TE1688	6.18	4.41429	A	DIRS
77	LTR-TE1689	6.15	4.39286	A	DIRS
78	LTR-TE1696	1.18	0.842857	A	DIRS
79	LTR-TE1713	0.13	0.0928571	A	DIRS
80	LTR-TE1717	1.90	1.35714	A	DIRS
81	LTR-TE1763	0.68	0.485714	A	DIRS
82	LTR-TE1768	3.82	2.72857	A	DIRS
83	LTR-TE1880	4.99	3.56429	A	DIRS
84	LTR-TE1881	5.75	4.10714	A	DIRS
85	LTR-TE1940	2.57	1.83571	A	DIRS
86	LTR-TE2045	0.44	0.314286	A	DIRS
87	LTR-TE2122	5.79	4.13571	A	DIRS
88	LTR-TE2123	4.41	3.15	A	DIRS
89	LTR-TE2169	2.45	1.75	A	DIRS
90	LTR-TE2210	0.42	0.3	A	DIRS
91	LTR-TE2216	1.93	1.37857	A	DIRS
92	LTR-TE2261	2.70	1.92857	A	DIRS
93	LTR-TE2263	2.78	1.98571	A	DIRS
94	LTR-TE2292	2.09	1.49286	A	DIRS
95	LTR-TE2354	8.32	5.94286	A	DIRS
96	LTR-TE2367	0.53	0.378571	A	DIRS
97	LTR-TE2368	5.38	3.84286	A	DIRS
98	LTR-TE2394	0.76	0.542857	A	DIRS
99	LTR-TE2434	0.65	0.464286	A	DIRS
100	LTR-TE2435	0.40	0.285714	A	DIRS
101	LTR-TE2485	7.56	5.4	A	DIRS
102	LTR-TE2509	0.89	0.635714	A	DIRS
103	LTR-TE2521	0.98	0.7	A	DIRS
104	LTR-TE2529	2.22	1.58571	A	DIRS
105	LTR-TE2581	0.96	0.685714	A	DIRS
106	LTR-TE2584	1.51	1.07857	A	DIRS
107	LTR-TE2625	1.79	1.27857	A	DIRS
108	LTR-TE2636	0.57	0.407143	A	DIRS
109	LTR-TE2638	11.83	8.45	A	DIRS
110	LTR-TE2639	0.48	0.342857	A	DIRS
111	LTR-TE2649	0.25	0.178571	A	DIRS
112	LTR-TE2688	5.98	4.27143	A	DIRS
113	LTR-TE2703	0.19	0.135714	A	DIRS
114	LTR-TE2749	1.36	0.971429	A	DIRS
115	LTR-TE2797	5.90	4.21429	A	DIRS
116	LTR-TE2835	0.73	0.521429	A	DIRS
117	LTR-TE2857	0.25	0.178571	A	DIRS
118	LTR-TE2898	1.19	0.85	A	DIRS
119	LTR-TE2930	1.04	0.742857	A	DIRS
120	LTR-TE2937	0.25	0.178571	A	DIRS
121	LTR-TE2944	1.85	1.32143	A	DIRS
122	LTR-TE3031	1.01	0.721429	A	DIRS
123	LTR-TE3062	0.16	0.114286	A	DIRS
124	LTR-TE3068	0.71	0.507143	A	DIRS
