line	Chrs	start	end	TEcoverage	type	genome
1	Chr01	8350000	8450000	0.4755900	specific	A
2	Chr01	83850000	83950000	0.7049700	conserved	A
3	Chr01	100650000	100750000	0.6180000	conserved	A
4	Chr01	7300000	7400000	0.3672300	specific	A
5	Chr01	9400000	9500000	0.5019600	conserved	A
6	Chr01	11500000	11600000	0.7148500	specific	A
7	Chr01	13600000	13700000	0.5680300	conserved	A
8	Chr01	17750000	17850000	0.5743100	conserved	A
9	Chr01	19850000	19950000	0.5568800	conserved	A
10	Chr01	22000000	22100000	0.7514100	conserved	A
11	Chr01	24100000	24200000	0.6790500	conserved	A
12	Chr01	30400000	30500000	0.6595900	conserved	A
13	Chr01	43950000	44050000	0.7887800	conserved	A
14	Chr01	55500000	55600000	0.6387200	conserved	A
15	Chr01	63950000	64050000	0.7646300	conserved	A
16	Chr01	65000000	65100000	0.5615400	specific	A
17	Chr01	77500000	77600000	0.6497300	conserved	A
18	Chr01	79650000	79750000	0.8526100	specific	A
19	Chr01	95400000	95500000	0.6607800	conserved	A
20	Chr01	3900000	4000000	0.3917200	conserved	A
21	Chr01	4550000	4650000	0.3037200	conserved	A
22	Chr01	5850000	5950000	0.3367400	conserved	A
23	Chr01	9950000	10050000	0.5474600	conserved	A
24	Chr01	10950000	11050000	0.5448400	conserved	A
25	Chr01	11700000	11800000	0.6132700	conserved	A
26	Chr01	12050000	12150000	0.5334000	conserved	A
27	Chr01	12400000	12500000	0.4485400	conserved	A
28	Chr01	13100000	13200000	0.5696600	conserved	A
29	Chr01	14450000	14550000	0.4761900	conserved	A
30	Chr01	14800000	14900000	0.5248300	conserved	A
31	Chr01	15400000	15500000	0.6085700	conserved	A
32	Chr01	16200000	16300000	0.5631700	conserved	A
33	Chr01	19100000	19200000	0.6762400	specific	A
34	Chr01	19450000	19550000	0.5420900	specific	A
35	Chr01	20800000	20900000	0.6613600	specific	A
36	Chr01	23150000	23250000	0.7664400	conserved	A
37	Chr01	28950000	29050000	0.5796000	conserved	A
38	Chr01	29550000	29650000	0.6280300	conserved	A
39	Chr01	33350000	33450000	0.5906000	conserved	A
40	Chr01	34150000	34250000	0.4974300	conserved	A
41	Chr01	34950000	35050000	0.8062200	conserved	A
42	Chr01	36750000	36850000	0.5822100	conserved	A
43	Chr01	37150000	37250000	0.8333200	specific	A
44	Chr01	39000000	39100000	0.7694100	specific	A
45	Chr01	39700000	39800000	0.8557700	conserved	A
46	Chr01	40300000	40400000	0.6365900	conserved	A
47	Chr01	40700000	40800000	0.8808700	conserved	A
48	Chr01	42500000	42600000	0.7308100	specific	A
49	Chr01	48100000	48200000	0.6904400	specific	A
50	Chr01	50000000	50100000	0.6940800	conserved	A
51	Chr01	51950000	52050000	0.9006400	conserved	A
52	Chr01	53150000	53250000	0.5104600	conserved	A
53	Chr01	53850000	53950000	0.8504700	specific	A
54	Chr01	56300000	56400000	0.7454300	specific	A
55	Chr01	61150000	61250000	0.6821700	conserved	A
56	Chr01	63150000	63250000	0.8473000	specific	A
57	Chr01	66150000	66250000	0.7246400	specific	A
58	Chr01	66700000	66800000	0.6502600	conserved	A
59	Chr01	71650000	71750000	0.6312400	specific	A
60	Chr01	72600000	72700000	0.8303400	conserved	A
61	Chr01	74500000	74600000	0.8538800	specific	A
62	Chr01	74950000	75050000	0.5058400	conserved	A
63	Chr01	75550000	75650000	0.6629000	conserved	A
64	Chr01	76650000	76750000	0.6698300	conserved	A
65	Chr01	77300000	77400000	0.6359500	conserved	A
66	Chr01	77850000	77950000	0.5554800	conserved	A
67	Chr01	78100000	78200000	0.7325100	specific	A
68	Chr01	78450000	78550000	0.7319900	specific	A
69	Chr01	79000000	79100000	0.6194900	specific	A
70	Chr01	80050000	80150000	0.6475000	specific	A
71	Chr01	81250000	81350000	0.5556500	specific	A
72	Chr01	81900000	82000000	0.8452900	specific	A
73	Chr01	85100000	85200000	0.5133300	conserved	A
74	Chr01	86150000	86250000	0.7791000	specific	A
75	Chr01	87750000	87850000	0.7462000	conserved	A
76	Chr01	89300000	89400000	0.6954500	conserved	A
77	Chr01	90500000	90600000	0.7611200	specific	A
78	Chr01	91450000	91550000	0.5728100	specific	A
79	Chr01	92100000	92200000	0.7335000	conserved	A
80	Chr01	92900000	93000000	0.6322100	conserved	A
81	Chr01	93450000	93550000	0.6124900	conserved	A
82	Chr01	93750000	93850000	0.6390700	conserved	A
83	Chr01	94100000	94200000	0.4033800	conserved	A
84	Chr01	94750000	94850000	0.5155200	conserved	A
85	Chr01	95800000	95900000	0.6740400	conserved	A
86	Chr01	98650000	98750000	0.5369600	conserved	A
87	Chr01	100350000	100450000	0.6097200	conserved	A
88	Chr01	101900000	102000000	0.7527400	specific	A
89	Chr01	102400000	102500000	0.4638000	conserved	A
90	Chr01	104050000	104150000	0.5237300	conserved	A
91	Chr01	104400000	104500000	0.5693000	conserved	A
92	Chr01	105100000	105200000	0.5065100	conserved	A
93	Chr01	106200000	106300000	0.5763400	conserved	A
94	Chr01	106600000	106700000	0.6230400	conserved	A
95	Chr01	107250000	107350000	0.6480200	conserved	A
96	Chr01	108050000	108150000	0.5385200	conserved	A
97	Chr01	108700000	108800000	0.4209300	conserved	A
98	Chr01	109350000	109450000	0.4619900	conserved	A
99	Chr01	113450000	113550000	0.5884200	conserved	A
100	Chr01	114600000	114700000	0.3371700	conserved	A
101	Chr01	115400000	115500000	0.5204800	conserved	A
102	Chr01	115900000	116000000	0.4411600	conserved	A
103	Chr01	118950000	119050000	0.7030500	specific	A
104	Chr01	119650000	119750000	0.4876600	specific	A
105	Chr01	120700000	120800000	0.3562200	conserved	A
106	Chr01	122250000	122350000	0.2923800	conserved	A
107	Chr01	122550000	122650000	0.3043300	specific	A
108	Chr01	123300000	123400000	0.2630800	conserved	A
109	Chr01	0	50000	0.4405800	conserved	A
110	Chr01	2250000	2350000	0.4166600	conserved	A
111	Chr01	6300000	6400000	0.4063100	conserved	A
112	Chr01	23600000	23700000	0.5926900	conserved	A
113	Chr01	27400000	27500000	0.7587500	specific	A
114	Chr01	27800000	27900000	0.6959200	conserved	A
115	Chr01	30950000	31050000	0.5777900	conserved	A
116	Chr01	32900000	33000000	0.6558200	conserved	A
117	Chr01	34500000	34600000	0.5737600	conserved	A
118	Chr01	35400000	35500000	0.5788700	conserved	A
119	Chr01	41300000	41400000	0.7006800	specific	A
120	Chr01	41950000	42050000	0.6145700	conserved	A
121	Chr01	43400000	43500000	0.7328800	conserved	A
122	Chr01	46150000	46250000	0.5261800	specific	A
123	Chr01	52300000	52400000	0.6046300	specific	A
124	Chr01	52700000	52800000	0.6739000	conserved	A
125	Chr01	56500000	56600000	0.4886500	specific	A
126	Chr01	59000000	59100000	0.8148600	specific	A
127	Chr01	59900000	60000000	0.6777100	specific	A
128	Chr01	68300000	68400000	0.7391100	conserved	A
129	Chr01	70650000	70750000	0.6859500	conserved	A
130	Chr01	75900000	76000000	0.5904100	conserved	A
131	Chr01	76300000	76400000	0.6808200	conserved	A
132	Chr01	88500000	88600000	0.7858800	specific	A
133	Chr01	99250000	99350000	0.6223200	conserved	A
134	Chr01	101200000	101300000	0.5813400	conserved	A
135	Chr01	108400000	108500000	0.4789900	conserved	A
136	Chr01	110650000	110750000	0.4874700	conserved	A
137	Chr01	111150000	111250000	0.7089600	conserved	A
138	Chr01	111700000	111800000	0.4977200	conserved	A
139	Chr01	119950000	120050000	0.6804700	conserved	A
140	Chr02	75400000	75500000	0.6152800	specific	A
141	Chr02	950000	1050000	0.2874400	conserved	A
142	Chr02	5150000	5250000	0.6110100	conserved	A
143	Chr02	23000000	23100000	0.5196200	conserved	A
144	Chr02	26200000	26300000	0.6884300	conserved	A
145	Chr02	59700000	59800000	0.6698000	specific	A
146	Chr02	68100000	68200000	0.4495600	conserved	A
147	Chr02	81750000	81850000	0.8434000	conserved	A
148	Chr02	82750000	82850000	0.6532600	conserved	A
149	Chr02	86950000	87050000	0.6794600	conserved	A
150	Chr02	108000000	108100000	0.3632200	conserved	A
151	Chr02	111100000	111200000	0.5436300	conserved	A
152	Chr02	1800000	1900000	0.3840000	conserved	A
153	Chr02	2550000	2650000	0.6130500	conserved	A
154	Chr02	3350000	3450000	0.3243300	conserved	A
155	Chr02	4750000	4850000	0.4631200	conserved	A
156	Chr02	12000000	12100000	0.8123800	specific	A
157	Chr02	12800000	12900000	0.7018400	specific	A
158	Chr02	13450000	13550000	0.5838300	conserved	A
159	Chr02	14000000	14100000	0.6121300	conserved	A
160	Chr02	16350000	16450000	0.6600500	conserved	A
161	Chr02	19700000	19800000	0.6914100	specific	A
162	Chr02	20350000	20450000	0.7302100	conserved	A
163	Chr02	22100000	22200000	0.5928400	specific	A
164	Chr02	24200000	24300000	0.7314400	conserved	A
165	Chr02	24700000	24800000	0.6138300	conserved	A
166	Chr02	26650000	26750000	0.6458900	conserved	A
167	Chr02	27900000	28000000	0.6968200	conserved	A
168	Chr02	28400000	28500000	0.7584200	conserved	A
169	Chr02	28900000	29000000	0.6844200	conserved	A
170	Chr02	32600000	32700000	0.7862600	conserved	A
171	Chr02	34000000	34100000	0.8195000	conserved	A
172	Chr02	34650000	34750000	0.7864600	conserved	A
173	Chr02	35250000	35350000	0.6473600	conserved	A
174	Chr02	37150000	37250000	0.8266500	conserved	A
175	Chr02	38450000	38550000	0.7432900	specific	A
176	Chr02	39250000	39350000	0.6557300	conserved	A
177	Chr02	42150000	42250000	0.6001200	specific	A
178	Chr02	47250000	47350000	0.7296500	conserved	A
179	Chr02	48100000	48200000	0.7421600	specific	A
180	Chr02	49500000	49600000	0.6334400	specific	A
