num	genome	ID	dist	year		
2	A	LTR-TE1	1.74	1.24286		
3	A	LTR-TE3	1.79	1.27857		
4	A	LTR-TE4	1.14	0.814286		
5	A	LTR-TE7	0.57	0.407143		
6	A	LTR-TE8	2.61	1.86429		
7	A	LTR-TE9	2.16	1.54286		
8	A	LTR-TE11	2.83	2.02143		
9	A	LTR-TE12	3.53	2.52143		
10	A	LTR-TE13	1.57	1.12143		
11	A	LTR-TE15	4.54	3.24286		
12	A	LTR-TE17	1.52	1.08571		
13	A	LTR-TE20	2.78	1.98571		
14	A	LTR-TE22	2.67	1.90714		
15	A	LTR-TE23	2.94	2.1		
16	A	LTR-TE24	2.06	1.47143		
17	A	LTR-TE25	2.32	1.65714		
18	A	LTR-TE33	2.76	1.97143		
19	A	LTR-TE34	2.5	1.78571		
20	A	LTR-TE37	4.87	3.47857		
21	A	LTR-TE38	1.07	0.764286		
22	A	LTR-TE41	2.04	1.45714		
23	A	LTR-TE42	4.42	3.15714		
24	A	LTR-TE44	0.87	0.621429		
25	A	LTR-TE45	5	3.57143		
26	A	LTR-TE47	1.1	0.785714		
27	A	LTR-TE54	1.91	1.36429		
28	A	LTR-TE55	1.47	1.05		
29	A	LTR-TE56	3.44	2.45714		
30	A	LTR-TE58	3.38	2.41429		
31	A	LTR-TE59	4.98	3.55714		
32	A	LTR-TE63	1.29	0.921429		
33	A	LTR-TE64	3.77	2.69286		
34	A	LTR-TE66	0.86	0.614286		
35	A	LTR-TE67	0	0		
36	A	LTR-TE68	4.54	3.24286		
37	A	LTR-TE70	2.27	1.62143		
38	A	LTR-TE71	6.86	4.9		
39	A	LTR-TE72	2.76	1.97143		
40	A	LTR-TE75	3.42	2.44286		
41	A	LTR-TE81	4.71	3.36429		
42	A	LTR-TE82	1.74	1.24286		
43	A	LTR-TE84	5.65	4.03571		
44	A	LTR-TE85	2.01	1.43571		
45	A	LTR-TE88	1.15	0.821429		
46	A	LTR-TE89	5.22	3.72857		
47	A	LTR-TE90	0.26	0.185714		
48	A	LTR-TE91	1.23	0.878571		
49	A	LTR-TE93	0.29	0.207143		
50	A	LTR-TE94	0.28	0.2		
51	A	LTR-TE95	2.59	1.85		
52	A	LTR-TE97	2.98	2.12857		
53	A	LTR-TE99	2.1	1.5		
54	A	LTR-TE100	4.79	3.42143		
55	A	LTR-TE103	3.33	2.37857		
56	A	LTR-TE104	1.41	1.00714		
57	A	LTR-TE106	4.46	3.18571		
58	A	LTR-TE107	4.71	3.36429		
59	A	LTR-TE109	8.91	6.36429		
60	A	LTR-TE111	5.98	4.27143		
61	A	LTR-TE112	2.27	1.62143		
62	A	LTR-TE114	4.05	2.89286		
