,group,group_name,seqnames,start,end,width,strand,score,score
1,1,PC1,LG11,50001,100000,50000,*,-0.019,0.019
2,1,PC1,LG11,100001,150000,50000,*,-0.022,0.022
3,1,PC1,LG11,200001,250000,50000,*,-0.022,0.022
4,1,PC1,LG11,550001,600000,50000,*,-0.024,0.024
5,1,PC1,LG11,650001,700000,50000,*,-0.023,0.023
6,1,PC1,LG11,700001,750000,50000,*,-0.023,0.023
7,1,PC1,LG11,800001,850000,50000,*,-0.024,0.024
8,1,PC1,LG11,850001,900000,50000,*,-0.023,0.023
9,1,PC1,LG11,900001,950000,50000,*,-0.023,0.023
10,1,PC1,LG11,950001,1000000,50000,*,-0.024,0.024
11,1,PC1,LG11,1050001,1100000,50000,*,-0.024,0.024
12,1,PC1,LG11,1100001,1150000,50000,*,-0.025,0.025
13,1,PC1,LG11,1200001,1250000,50000,*,-0.024,0.024
14,1,PC1,LG11,1250001,1300000,50000,*,-0.024,0.024
15,1,PC1,LG11,1300001,1350000,50000,*,-0.023,0.023
16,1,PC1,LG11,1350001,1400000,50000,*,-0.024,0.024
17,1,PC1,LG11,1400001,1450000,50000,*,-0.024,0.024
18,1,PC1,LG11,1450001,1500000,50000,*,-0.024,0.024
19,1,PC1,LG11,1500001,1550000,50000,*,-0.024,0.024
20,1,PC1,LG11,1550001,1600000,50000,*,-0.023,0.023
21,1,PC1,LG11,1600001,1650000,50000,*,-0.024,0.024
22,1,PC1,LG11,1650001,1700000,50000,*,-0.023,0.023
23,1,PC1,LG11,1950001,2000000,50000,*,-0.024,0.024
24,1,PC1,LG11,2000001,2050000,50000,*,-0.023,0.023
25,1,PC1,LG11,2050001,2100000,50000,*,-0.024,0.024
26,1,PC1,LG11,2100001,2150000,50000,*,-0.024,0.024
27,1,PC1,LG11,2200001,2250000,50000,*,-0.023,0.023
28,1,PC1,LG11,2250001,2300000,50000,*,-0.024,0.024
29,1,PC1,LG11,2350001,2400000,50000,*,-0.024,0.024
30,1,PC1,LG11,2400001,2450000,50000,*,-0.024,0.024
31,1,PC1,LG11,2450001,2500000,50000,*,-0.025,0.025
32,1,PC1,LG11,2500001,2550000,50000,*,-0.024,0.024
33,1,PC1,LG11,2550001,2600000,50000,*,-0.024,0.024
34,1,PC1,LG11,2600001,2650000,50000,*,-0.024,0.024
35,1,PC1,LG11,2650001,2700000,50000,*,-0.024,0.024
36,1,PC1,LG11,2700001,2750000,50000,*,-0.024,0.024
37,1,PC1,LG11,2750001,2800000,50000,*,-0.024,0.024
38,1,PC1,LG11,2800001,2850000,50000,*,-0.024,0.024
39,1,PC1,LG11,2850001,2900000,50000,*,-0.024,0.024
40,1,PC1,LG11,3000001,3050000,50000,*,-0.025,0.025
41,1,PC1,LG11,3050001,3100000,50000,*,-0.024,0.024
42,1,PC1,LG11,3200001,3250000,50000,*,-0.016,0.016
43,1,PC1,LG11,3600001,3650000,50000,*,-0.02,0.02
44,1,PC1,LG11,3800001,3850000,50000,*,-0.024,0.024
45,1,PC1,LG11,3850001,3900000,50000,*,-0.024,0.024
46,1,PC1,LG11,3900001,3950000,50000,*,-0.024,0.024
47,1,PC1,LG11,4100001,4150000,50000,*,-0.024,0.024
48,1,PC1,LG11,4150001,4200000,50000,*,-0.024,0.024
49,1,PC1,LG11,4200001,4250000,50000,*,-0.024,0.024
50,1,PC1,LG11,4250001,4300000,50000,*,-0.025,0.025
51,1,PC1,LG11,4300001,4350000,50000,*,-0.024,0.024
52,1,PC1,LG11,4350001,4400000,50000,*,-0.025,0.025
53,1,PC1,LG11,4400001,4450000,50000,*,-0.024,0.024
54,1,PC1,LG11,4450001,4500000,50000,*,-0.024,0.024
55,1,PC1,LG11,4500001,4550000,50000,*,-0.024,0.024
56,1,PC1,LG11,4550001,4600000,50000,*,-0.024,0.024
57,1,PC1,LG11,4600001,4650000,50000,*,-0.022,0.022
58,1,PC1,LG11,4650001,4700000,50000,*,-0.025,0.025
59,1,PC1,LG11,4700001,4750000,50000,*,-0.024,0.024
60,1,PC1,LG11,4800001,4850000,50000,*,-0.024,0.024
61,1,PC1,LG11,4850001,4900000,50000,*,-0.025,0.025
62,1,PC1,LG11,4900001,4950000,50000,*,-0.023,0.023
63,1,PC1,LG11,5100001,5150000,50000,*,-0.02,0.02
64,1,PC1,LG11,5150001,5200000,50000,*,-0.023,0.023
65,1,PC1,LG11,5200001,5250000,50000,*,-0.025,0.025
66,1,PC1,LG11,5250001,5300000,50000,*,-0.024,0.024
67,1,PC1,LG11,5300001,5350000,50000,*,-0.024,0.024
68,1,PC1,LG11,5350001,5400000,50000,*,-0.025,0.025
69,1,PC1,LG11,5450001,5500000,50000,*,-0.024,0.024
70,1,PC1,LG11,5500001,5550000,50000,*,-0.024,0.024
71,1,PC1,LG11,5550001,5600000,50000,*,-0.023,0.023
72,1,PC1,LG11,5650001,5700000,50000,*,-0.024,0.024
